WKT	beslissing	vervanging_id	pointid_from_targets	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	pointid
POINT (2.748454 51.118789)	behouden	NA	Pl_13807.2	Polders	HOL buiten plan	58	eerste set	0.548308179117721	unclassified	Pl_13807.2
POINT (2.67458 51.108217)	behouden	NA	Pl_13827.11	Polders	HOL binnen plan	56	reserve set	0.759774825195246	unclassified	Pl_13827.11
POINT (3.54272 51.257359)	behouden	NA	Pl_14217.12	Polders	HOL binnen plan	11	eerste set	0.723351388646646	unclassified	Pl_14217.12
POINT (2.783252 51.136542)	behouden	NA	Pl_14232.4	Polders	OL buiten plan	66	reserve set	0.782125570350047	unclassified	Pl_14232.4
POINT (2.711376 51.09716)	behouden	NA	Pl_14393.14	Polders	OL binnen plan	39	eerste set	0.686250656790384	unclassified	Pl_14393.14
POINT (2.963571 51.190791)	behouden	NA	Pl_14416.1	Polders	HOL buiten plan	31	eerste set	0.546201038160358	track	Pl_14416.1
POINT (2.975103 51.171012)	behouden	NA	Pl_14514	Polders	OL buiten plan	71	reserve set	0.444606742002141	unclassified	Pl_14514
POINT (2.705589 51.090956)	behouden	NA	Pl_14538.6	Polders	OL binnen plan	48	eerste set	0.766472523238264	unclassified	Pl_14538.6
POINT (2.77742 50.962789)	behouden	NA	Pl_14641.2.2	Polders	HOL binnen plan	1	eerste set	0.737800355211398	unclassified	Pl_14641.2.2
POINT (2.733435 51.121517)	behouden	NA	Pl_14658.2.5	Polders	OL binnen plan	17	eerste set	0.705515945543316	unclassified	Pl_14658.2.5
POINT (3.255988 51.282611)	behouden	NA	Pl_14883.4	Polders	HOL binnen plan	20	eerste set	0.650354005481124	unclassified	Pl_14883.4
POINT (2.959568 51.145672)	behouden	NA	Pl_14930.3	Polders	OL buiten plan	79	reserve set	0.717330985911363	unclassified	Pl_14930.3
POINT (3.1454 51.253885)	behouden	NA	Pl_15005	Polders	HOL binnen plan	36	eerste set	0.63635656912155	unclassified	Pl_15005
POINT (2.890062 51.190785)	behouden	NA	Pl_15051.9	Polders	OL buiten plan	76	reserve set	0.668189448584469	unclassified	Pl_15051.9
POINT (2.832167 51.115072)	behouden	NA	Pl_15285.14	Polders	OL buiten plan	15	eerste set	0.743820757946678	track	Pl_15285.14
POINT (3.161108 51.277372)	behouden	NA	Pl_1563.3	Polders	OL binnen plan	3	eerste set	0.805605141017767	unclassified	Pl_1563.3
POINT (3.155245 51.3056)	behouden	NA	Pl_15658.1.3	Polders	HOL binnen plan	50	eerste set	0.70047385825253	unclassified	Pl_15658.1.3
POINT (3.182686 51.308461)	behouden	NA	Pl_15667.6	Polders	HOL binnen plan	41	eerste set	0.777986543469556	unclassified	Pl_15667.6
POINT (3.262629 51.328543)	behouden	NA	Pl_16069.1.1	Polders	HOL buiten plan	43	eerste set	0.560725259759337	tertiary	Pl_16069.1.1
POINT (3.271192 51.325519)	behouden	NA	Pl_16070	Polders	HOL buiten plan	19	eerste set	0.485771245704747	tertiary	Pl_16070
POINT (2.752794 51.035093)	behouden	NA	Pl_16554.1.9	Polders	OL binnen plan	55	reserve set	0.776180422648932	unclassified	Pl_16554.1.9
POINT (2.710289 51.067522)	behouden	NA	Pl_16660.1.25	Polders	OL binnen plan	34	eerste set	0.569078568554532	unclassified	Pl_16660.1.25
POINT (2.815253 51.131243)	behouden	NA	Pl_16834.1	Polders	HOL buiten plan	61	eerste set	0.546125783126165	unclassified	Pl_16834.1
POINT (2.920235 51.111652)	behouden	NA	Pl_17017.11	Polders	OL buiten plan	51	eerste set	0.858735195156781	unclassified	Pl_17017.11
POINT (2.930926 51.150542)	behouden	NA	Pl_17122	Polders	OL buiten plan	30	eerste set	0.743820757946698	unclassified	Pl_17122
POINT (3.338538 51.28759)	behouden	NA	Pl_17446.13	Polders	HOL binnen plan	28	eerste set	0.661115475370454	track	Pl_17446.13
POINT (3.322337 51.275038)	behouden	NA	Pl_17447.2.1	Polders	OL buiten plan	36	eerste set	0.743218717673167	unclassified	Pl_17447.2.1
POINT (3.320958 51.263063)	behouden	NA	Pl_17447.3.5	Polders	OL buiten plan	29	eerste set	0.696184321303612	unclassified	Pl_17447.3.5
POINT (3.301495 51.299898)	behouden	NA	Pl_17493.1	Polders	OL binnen plan	21	eerste set	0.671726435191465	unclassified	Pl_17493.1
POINT (3.318624 51.323918)	behouden	NA	Pl_17543.7	Polders	OL buiten plan	20	eerste set	0.786415107298967	unclassified	Pl_17543.7
POINT (2.98783 51.244701)	behouden	NA	Pl_17544.2	Polders	HOL buiten plan	3	eerste set	0.612876998453862	tertiary	Pl_17544.2
POINT (3.222742 51.289276)	behouden	NA	Pl_18019.26	Polders	OL buiten plan	46	eerste set	0.923454524561342	unclassified	Pl_18019.26
POINT (3.189227 51.277403)	behouden	NA	Pl_18026.12	Polders	HOL buiten plan	16	eerste set	0.669619294234066	unclassified	Pl_18026.12
POINT (3.185746 51.284307)	behouden	NA	Pl_18026.3.1	Polders	OL buiten plan	23	eerste set	0.71100956303935	unclassified	Pl_18026.3.1
POINT (2.755112 51.117433)	behouden	NA	Pl_18078.2	Polders	OL buiten plan	31	eerste set	0.543792877066249	unclassified	Pl_18078.2
POINT (3.083899 51.216546)	behouden	NA	Pl_18211.11	Polders	HOL binnen plan	59	reserve set	0.657879508900273	unclassified	Pl_18211.11
POINT (2.81039 51.081292)	behouden	NA	Pl_18515.1.2	Polders	OL binnen plan	37	eerste set	0.617618065607916	unclassified	Pl_18515.1.2
POINT (2.795677 51.089676)	behouden	NA	Pl_19253.1.6	Polders	OL binnen plan	9	eerste set	0.70529018044075	unclassified	Pl_19253.1.6
POINT (2.928832 51.148945)	behouden	NA	Pl_19287.6	Polders	HOL buiten plan	18	eerste set	0.592558139222208	unclassified	Pl_19287.6
POINT (2.927938 51.141099)	behouden	NA	Pl_19368.4	Polders	OL buiten plan	53	eerste set	0.739455965963637	unclassified	Pl_19368.4
POINT (2.853261 51.168802)	behouden	NA	Pl_19508.2.1	Polders	OL binnen plan	16	eerste set	0.743369227741566	unclassified	Pl_19508.2.1
POINT (2.865891 51.17096)	behouden	NA	Pl_19508.2.19	Polders	HOL binnen plan	19	eerste set	0.444832507104695	unclassified	Pl_19508.2.19
POINT (2.834206 51.165283)	behouden	NA	Pl_19508.6	Polders	HOL binnen plan	6	eerste set	0.662244300883346	unclassified	Pl_19508.6
POINT (4.401757 51.298973)	behouden	NA	Pl_19533.1	Polders	OL buiten plan	13	eerste set	0.839996691643206	unclassified	Pl_19533.1
POINT (4.262787 51.239496)	behouden	NA	Pl_19980.3	Polders	HOL binnen plan	63	reserve set	0.778814348845705	unclassified	Pl_19980.3
POINT (2.888925 51.138077)	behouden	NA	Pl_20078.26	Polders	OL binnen plan	24	eerste set	0.680681784260207	unclassified	Pl_20078.26
POINT (3.076072 51.183386)	behouden	NA	Pl_20089.2	Polders	HOL buiten plan	12	eerste set	0.491189608166571	unclassified	Pl_20089.2
POINT (3.252272 51.3107)	behouden	NA	Pl_20430.1	Polders	HOL buiten plan	79	reserve set	0.371308338699834	tertiary	Pl_20430.1
POINT (3.371258 51.284857)	behouden	NA	Pl_20645.1.8	Polders	HOL binnen plan	34	eerste set	0.501875823021733	unclassified	Pl_20645.1.8
POINT (2.838427 51.078562)	behouden	NA	Pl_20856.1.13	Polders	OL binnen plan	25	eerste set	0.73230673771542	track	Pl_20856.1.13
POINT (3.334147 51.255123)	behouden	NA	Pl_21120.8	Polders	HOL buiten plan	73	eerste set	0.504961279423523	unclassified	Pl_21120.8
POINT (3.541017 51.251429)	behouden	NA	Pl_21271.2	Polders	HOL binnen plan	30	eerste set	0.450627144737441	unclassified	Pl_21271.2
POINT (3.35405 51.2572)	behouden	NA	Pl_21766.1.1	Polders	OL buiten plan	56	eerste set	0.613027508522208	unclassified	Pl_21766.1.1
POINT (3.35932 51.260388)	behouden	NA	Pl_21767.21	Polders	HOL buiten plan	28	eerste set	0.731328422270961	unclassified	Pl_21767.21
POINT (3.322465 51.260499)	behouden	NA	Pl_21772.3	Polders	HOL buiten plan	89	reserve set	0.619348931394308	unclassified	Pl_21772.3
POINT (2.940224 51.183236)	behouden	NA	Pl_21779.4	Polders	OL buiten plan	27	eerste set	0.720341187279009	unclassified	Pl_21779.4
POINT (2.800423 51.123584)	behouden	NA	Pl_22016.1.4	Polders	OL binnen plan	42	eerste set	0.764139617178357	unclassified	Pl_22016.1.4
POINT (2.952633 51.163071)	behouden	NA	Pl_22452.1	Polders	HOL buiten plan	22	eerste set	0.698366717295168	unclassified	Pl_22452.1
POINT (2.733693 51.041479)	behouden	NA	Pl_22494.2	Polders	OL binnen plan	36	eerste set	0.522796722526885	unclassified	Pl_22494.2
POINT (3.004892 51.205716)	behouden	NA	Pl_22987.1.8	Polders	HOL buiten plan	35	eerste set	0.458152648156571	unclassified	Pl_22987.1.8
POINT (3.341818 51.260629)	behouden	NA	Pl_23117.1	Polders	OL buiten plan	16	eerste set	0.587741817033926	unclassified	Pl_23117.1
POINT (2.765445 50.99463)	behouden	NA	Pl_24043.3.1	Polders	HOL binnen plan	44	eerste set	0.598127011752359	unclassified	Pl_24043.3.1
POINT (2.688714 51.046764)	behouden	NA	Pl_24286.1	Polders	OL binnen plan	18	eerste set	0.785135771717719	tertiary	Pl_24286.1
POINT (2.870133 51.093663)	behouden	NA	Pl_24687.3	Polders	OL binnen plan	33	eerste set	0.659234099515699	unclassified	Pl_24687.3
POINT (2.941965 51.200339)	behouden	NA	Pl_25053.16	Polders	HOL buiten plan	17	eerste set	0.523850293005543	track	Pl_25053.16
POINT (3.352089 51.318207)	behouden	NA	Pl_25135.1.3	Polders	OL buiten plan	52	eerste set	0.755635798314745	unclassified	Pl_25135.1.3
POINT (3.177988 51.274855)	behouden	NA	Pl_25276.2	Polders	HOL buiten plan	90	reserve set	0.553199756340174	unclassified	Pl_25276.2
POINT (2.8771 51.1157)	behouden	NA	Pl_25350.30	Polders	OL buiten plan	58	eerste set	0.627024944881805	unclassified	Pl_25350.30
POINT (3.526962 51.275435)	behouden	NA	Pl_26443.16	Polders	HOL binnen plan	33	eerste set	0.608060676265602	unclassified	Pl_26443.16
POINT (2.820482 51.039324)	behouden	NA	Pl_26857.1.3	Polders	OL binnen plan	11	eerste set	0.71424552950953	unclassified	Pl_26857.1.3
POINT (4.215121 51.314331)	behouden	NA	Pl_2760.2	Polders	HOL binnen plan	23	eerste set	0.73155418737359	unclassified	Pl_2760.2
POINT (3.391824 51.246056)	behouden	NA	Pl_27674.7	Polders	HOL buiten plan	55	eerste set	0.620251991804615	track	Pl_27674.7
POINT (3.073862 51.25652)	behouden	NA	Pl_27722.8	Polders	OL binnen plan	7	eerste set	0.703032529415049	track	Pl_27722.8
POINT (3.39089 51.262413)	behouden	NA	Pl_27791.6	Polders	HOL buiten plan	40	eerste set	0.45755060788306	track	Pl_27791.6
POINT (3.363394 51.270684)	behouden	NA	Pl_27811.2	Polders	HOL buiten plan	57	eerste set	0.478095232217274	unclassified	Pl_27811.2
POINT (3.185791 51.250564)	behouden	NA	Pl_28360.2	Polders	HOL binnen plan	55	reserve set	0.526258454099686	unclassified	Pl_28360.2
POINT (4.224104 51.291846)	behouden	NA	Pl_2844	Polders	HOL binnen plan	43	eerste set	0.326155318185077	track	Pl_2844
POINT (3.012114 51.247287)	behouden	NA	Pl_28577.2.2	Polders	HOL buiten plan	42	eerste set	0.487878386662119	tertiary	Pl_28577.2.2
POINT (3.052868 51.277044)	behouden	NA	Pl_28636	Polders	HOL binnen plan	53	eerste set	0.645838703429629	unclassified	Pl_28636
POINT (3.201949 51.260529)	behouden	NA	Pl_28716.1.4	Polders	HOL buiten plan	84	reserve set	0.560574749690954	unclassified	Pl_28716.1.4
POINT (4.191256 51.277861)	behouden	NA	Pl_28915.18	Polders	HOL binnen plan	29	eerste set	0.564713776571391	unclassified	Pl_28915.18
POINT (3.269224 51.306751)	behouden	NA	Pl_28972.2	Polders	OL buiten plan	26	eerste set	0.731328422270947	unclassified	Pl_28972.2
POINT (3.770532 51.22904)	behouden	NA	Pl_2901.11	Polders	OL binnen plan	54	reserve set	0.855423973652368	unclassified	Pl_2901.11
POINT (2.911896 51.146844)	behouden	NA	Pl_29657.2	Polders	OL buiten plan	65	reserve set	0.810872993411137	unclassified	Pl_29657.2
POINT (3.040632 51.229775)	behouden	NA	Pl_2994.1	Polders	OL binnen plan	32	eerste set	0.615285159548001	unclassified	Pl_2994.1
POINT (3.062574 51.215062)	behouden	NA	Pl_2995.3	Polders	HOL binnen plan	49	eerste set	0.591730333846135	unclassified	Pl_2995.3
POINT (2.980487 51.230016)	behouden	NA	Pl_3054.10	Polders	OL buiten plan	60	eerste set	0.57999054851227	track	Pl_3054.10
POINT (3.233266 51.288008)	behouden	NA	Pl_32132.2	Polders	OL buiten plan	69	reserve set	0.598954817128457	unclassified	Pl_32132.2
POINT (2.791559 51.127883)	behouden	NA	Pl_32282	Polders	HOL buiten plan	67	eerste set	0.469215138182683	unclassified	Pl_32282
POINT (4.353819 51.322079)	behouden	NA	Pl_33161.1	Polders	HOL buiten plan	11	eerste set	0.691894784354621	track	Pl_33161.1
POINT (3.278527 51.242389)	behouden	NA	Pl_33899.6	Polders	OL binnen plan	47	eerste set	0.680004488952495	track	Pl_33899.6
POINT (2.950288 51.142642)	behouden	NA	Pl_36955.1	Polders	HOL buiten plan	32	eerste set	0.603319609111559	unclassified	Pl_36955.1
POINT (3.661858 51.276142)	behouden	NA	Pl_3728.1	Polders	HOL binnen plan	24	eerste set	0.674586126490707	tertiary	Pl_3728.1
POINT (4.23012 51.331687)	behouden	NA	Pl_38983.13	Polders	HOL binnen plan	45	eerste set	0.712288898620599	unclassified	Pl_38983.13
POINT (3.235867 51.325566)	behouden	NA	Pl_3935.1.4	Polders	HOL buiten plan	46	eerste set	0.562907655750838	unclassified	Pl_3935.1.4
POINT (3.058498 51.251143)	behouden	NA	Pl_41058.1	Polders	HOL binnen plan	9	eerste set	0.643957327574857	tertiary	Pl_41058.1
POINT (2.848702 51.083557)	behouden	NA	Pl_43534.1	Polders	HOL binnen plan	8	eerste set	0.425868238488491	track	Pl_43534.1
POINT (2.973039 51.144199)	behouden	NA	Pl_43560.1	Polders	OL buiten plan	32	eerste set	0.691142234012811	unclassified	Pl_43560.1
POINT (4.264842 51.234796)	behouden	NA	Pl_44175.5	Polders	OL binnen plan	40	eerste set	0.758570744648228	unclassified	Pl_44175.5
POINT (2.773444 51.077741)	behouden	NA	Pl_44869.1.3	Polders	OL binnen plan	26	eerste set	0.686551676927125	unclassified	Pl_44869.1.3
POINT (2.742783 51.000612)	behouden	NA	Pl_44995.13	Polders	OL binnen plan	19	eerste set	0.80568039605196	unclassified	Pl_44995.13
POINT (2.987121 51.240871)	behouden	NA	Pl_45612.2	Polders	OL buiten plan	54	eerste set	0.799434228214073	track	Pl_45612.2
POINT (3.175217 51.236546)	behouden	NA	Pl_45878	Polders	HOL binnen plan	16	eerste set	0.496231695457352	track	Pl_45878
POINT (3.149674 51.278144)	behouden	NA	Pl_46302	Polders	HOL binnen plan	27	eerste set	0.604072159453501	unclassified	Pl_46302
POINT (2.970566 51.181173)	behouden	NA	Pl_47332.1.3	Polders	HOL buiten plan	2	eerste set	0.519636011090856	unclassified	Pl_47332.1.3
POINT (2.888168 51.17252)	behouden	NA	Pl_47334.2.1	Polders	OL buiten plan	80	reserve set	0.653364206848785	unclassified	Pl_47334.2.1
POINT (2.979101 51.152155)	behouden	NA	Pl_47880.7	Polders	HOL buiten plan	72	eerste set	0.41172029206053	unclassified	Pl_47880.7
POINT (3.762564 51.249124)	behouden	NA	Pl_48265.4.6	Polders	HOL binnen plan	38	eerste set	0.677596327858393	unclassified	Pl_48265.4.6
POINT (3.294028 51.302992)	behouden	NA	Pl_48621.2	Polders	OL binnen plan	8	eerste set	0.774148536725821	unclassified	Pl_48621.2
POINT (2.913474 51.199521)	behouden	NA	Pl_49572	Polders	HOL binnen plan	37	eerste set	0.584430595529535	unclassified	Pl_49572
POINT (4.217082 51.236187)	behouden	NA	Pl_4960.18	Polders	OL binnen plan	10	eerste set	0.64561293832709	unclassified	Pl_4960.18
POINT (2.957644 51.192811)	behouden	NA	Pl_49800	Polders	OL buiten plan	37	eerste set	0.708977677116145	track	Pl_49800
POINT (2.890765 51.116185)	behouden	NA	Pl_50709	Polders	OL buiten plan	25	eerste set	0.734413878672807	unclassified	Pl_50709
POINT (3.627656 51.257658)	behouden	NA	Pl_5125	Polders	HOL binnen plan	62	reserve set	0.612726488385472	unclassified	Pl_5125
POINT (3.581045 51.26198)	behouden	NA	Pl_5166.4	Polders	HOL binnen plan	17	eerste set	0.563434440990164	tertiary	Pl_5166.4
POINT (3.641906 51.26488)	behouden	NA	Pl_5238.5	Polders	HOL binnen plan	58	reserve set	0.83224542312154	tertiary	Pl_5238.5
POINT (3.193721 51.237492)	behouden	NA	Pl_5586.1.4	Polders	HOL buiten plan	66	eerste set	0.680681784260219	unclassified	Pl_5586.1.4
POINT (3.655804 51.259526)	behouden	NA	Pl_5734.4	Polders	HOL binnen plan	22	eerste set	0.728845006142613	unclassified	Pl_5734.4
POINT (3.102423 51.205366)	behouden	NA	Pl_5761.13	Polders	HOL binnen plan	2	eerste set	0.22335694147975	track	Pl_5761.13
POINT (3.683287 51.265497)	behouden	NA	Pl_5874	Polders	HOL binnen plan	25	eerste set	0.545598997886874	unclassified	Pl_5874
POINT (3.593675 51.293579)	behouden	NA	Pl_6374.2	Polders	OL binnen plan	35	eerste set	0.682713670183354	unclassified	Pl_6374.2
POINT (2.805858 51.165903)	behouden	NA	Pl_6579.2.9	Polders	OL binnen plan	56	reserve set	0.817495436419982	unclassified	Pl_6579.2.9
POINT (2.852938 51.175659)	behouden	NA	Pl_6583.3	Polders	OL binnen plan	31	eerste set	0.768955939366578	unclassified	Pl_6583.3
POINT (2.866303 51.190107)	behouden	NA	Pl_6585.1.3	Polders	OL binnen plan	53	reserve set	0.79860642283796	unclassified	Pl_6585.1.3
POINT (2.869524 51.178014)	behouden	NA	Pl_6586.6	Polders	OL binnen plan	12	eerste set	0.703032529415032	unclassified	Pl_6586.6
POINT (2.915057 51.158338)	behouden	NA	Pl_6590.1.1	Polders	OL buiten plan	4	eerste set	0.716277415432679	unclassified	Pl_6590.1.1
POINT (2.908509 51.162513)	behouden	NA	Pl_6590.2.6	Polders	HOL binnen plan	54	reserve set	0.620251991804602	unclassified	Pl_6590.2.6
POINT (2.908568 51.153745)	behouden	NA	Pl_6592.32	Polders	OL buiten plan	24	eerste set	0.694829730688179	unclassified	Pl_6592.32
POINT (2.920943 51.160808)	behouden	NA	Pl_6602.1	Polders	HOL buiten plan	44	eerste set	0.547480373741624	unclassified	Pl_6602.1
POINT (2.998561 51.2371)	behouden	NA	Pl_6781.2.6	Polders	OL buiten plan	57	eerste set	0.788522248256318	unclassified	Pl_6781.2.6
POINT (3.007514 51.244431)	behouden	NA	Pl_6781.7	Polders	OL buiten plan	48	eerste set	0.725759549740807	unclassified	Pl_6781.7
POINT (4.35074 51.335642)	behouden	NA	Pl_8014.4	Polders	OL buiten plan	21	eerste set	0.719061851697784	unclassified	Pl_8014.4
POINT (3.009401 51.234449)	behouden	NA	Pl_8068.1	Polders	OL buiten plan	67	reserve set	0.638990495318213	unclassified	Pl_8068.1
POINT (3.015952 51.238079)	behouden	NA	Pl_8068.2.9	Polders	OL buiten plan	70	reserve set	0.719739147005487	unclassified	Pl_8068.2.9
POINT (3.340266 51.270143)	behouden	NA	Pl_8287.3	Polders	OL binnen plan	6	eerste set	0.63417417313001	tertiary	Pl_8287.3
POINT (2.922956 51.17754)	behouden	NA	Pl_8339.1	Polders	HOL buiten plan	9	eerste set	0.469892433490417	unclassified	Pl_8339.1
POINT (2.94809 51.179722)	behouden	NA	Pl_8353.3	Polders	HOL buiten plan	75	reserve set	0.439489399677132	unclassified	Pl_8353.3
POINT (3.01919 51.202128)	behouden	NA	Pl_8412.1	Polders	HOL buiten plan	1	eerste set	0.453637346105094	unclassified	Pl_8412.1
POINT (2.811141 51.148915)	behouden	NA	Pl_8493.1.5	Polders	OL binnen plan	38	eerste set	0.696711106542975	unclassified	Pl_8493.1.5
POINT (2.887638 51.12659)	behouden	NA	Pl_8536.2	Polders	OL buiten plan	68	reserve set	0.744197033117668	unclassified	Pl_8536.2
POINT (2.986549 51.142851)	behouden	NA	Pl_8624.19	Polders	OL buiten plan	11	eerste set	0.741036321681609	unclassified	Pl_8624.19
POINT (2.616432 51.078105)	behouden	NA	Pl_8638.1	Polders	OL binnen plan	43	eerste set	0.810120443069218	unclassified	Pl_8638.1
POINT (3.002351 51.168371)	behouden	NA	Pl_8757.2	Polders	HOL buiten plan	36	eerste set	0.418568500171963	unclassified	Pl_8757.2
POINT (2.999457 51.163686)	behouden	NA	Pl_8761.4	Polders	OL buiten plan	14	eerste set	0.537621964262583	unclassified	Pl_8761.4
POINT (3.020122 51.191746)	behouden	NA	Pl_8768	Polders	OL buiten plan	12	eerste set	0.727565670561354	unclassified	Pl_8768
POINT (3.022781 51.192078)	behouden	NA	Pl_8771.1.3	Polders	HOL buiten plan	65	eerste set	0.626799179779233	unclassified	Pl_8771.1.3
POINT (2.825206 51.050496)	behouden	NA	Pl_8864.7	Polders	OL binnen plan	15	eerste set	0.681133314465361	unclassified	Pl_8864.7
POINT (2.841952 51.096056)	behouden	NA	Pl_8865.3	Polders	HOL binnen plan	26	eerste set	0.442198580908005	unclassified	Pl_8865.3
POINT (2.938552 51.154693)	behouden	NA	Pl_8879.4	Polders	HOL buiten plan	69	eerste set	0.552296695929861	unclassified	Pl_8879.4
POINT (2.917838 51.124742)	behouden	NA	Pl_8892.1.1	Polders	OL buiten plan	38	eerste set	0.691970039388901	unclassified	Pl_8892.1.1
POINT (2.926839 51.121269)	behouden	NA	Pl_8895.1	Polders	HOL buiten plan	15	eerste set	0.530623246082782	unclassified	Pl_8895.1
POINT (2.926438 51.115576)	behouden	NA	Pl_8896.1	Polders	OL buiten plan	34	eerste set	0.838115315788353	unclassified	Pl_8896.1
POINT (2.924723 51.156789)	behouden	NA	Pl_8907.4	Polders	OL buiten plan	22	eerste set	0.585408910974032	unclassified	Pl_8907.4
POINT (2.951457 51.125982)	behouden	NA	Pl_8961.11	Polders	OL binnen plan	1	eerste set	0.735091173980526	unclassified	Pl_8961.11
