WKT	beslissing	vervanging_id	pointid_from_targets	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	pointid
POINT (4.264934 51.251525)	vervangen door bestaand	Beerpolder	Pl_1188.2	Polders	HOL binnen plan	60	reserve set	0.283335203730205	unclassified	Beerpolder
POINT (3.579129 51.282355)	vervangen door bestaand	Casteleynstraat	Pl_5258.6	Polders	OL binnen plan	23	eerste set	0.818473751864464	unclassified	Casteleynstraat
POINT (2.610055 51.055754)	vervangen door bestaand	DM_176.6	Pl_13884.1	Polders	OL binnen plan	13	eerste set	0.811776053821451	track	DM_176.6
POINT (4.257108 51.31279)	vervangen door bestaand	DP KC	Pl_31984.3	Polders	HOL binnen plan	48	eerste set	0.624315763650942	track	DP KC
POINT (4.154899 51.276989)	vervangen door bestaand	Grote Geule	Pl_2797.5	Polders	HOL binnen plan	47	eerste set	0.602416548701283	track	Grote Geule
POINT (4.216773 51.306787)	vervangen door bestaand	NAP C	Pl_2761.2.1	Polders	OL binnen plan	5	eerste set	0.881462215482622	unclassified	NAP C
POINT (2.726875 51.081434)	behouden	NA	Pl_10047.1.3	Polders	OL binnen plan	28	eerste set	0.783555415999682	tertiary	Pl_10047.1.3
POINT (2.619325 51.090813)	behouden	NA	Pl_10450.3	Polders	HOL binnen plan	4	eerste set	0.513766118423945	unclassified	Pl_10450.3
POINT (3.100382 51.280002)	behouden	NA	Pl_10560.24	Polders	OL binnen plan	30	eerste set	0.71748149597976	unclassified	Pl_10560.24
POINT (3.006594 51.228599)	behouden	NA	Pl_10606.1.1	Polders	OL buiten plan	9	eerste set	0.760978905742282	unclassified	Pl_10606.1.1
POINT (4.364776 51.316453)	behouden	NA	Pl_10832	Polders	HOL binnen plan	21	eerste set	0.755033758041251	track	Pl_10832
POINT (4.337523 51.336629)	behouden	NA	Pl_10846.13	Polders	HOL buiten plan	48	eerste set	0.643505797369746	track	Pl_10846.13
POINT (2.905836 51.173727)	behouden	NA	Pl_11475.1.3	Polders	HOL buiten plan	5	eerste set	0.621380817317451	unclassified	Pl_11475.1.3
POINT (3.303221 51.258275)	behouden	NA	Pl_11510.1.14	Polders	HOL binnen plan	32	eerste set	0.58525840090564	unclassified	Pl_11510.1.14
POINT (3.377598 51.262236)	behouden	NA	Pl_11709.1.5	Polders	HOL buiten plan	13	eerste set	0.543190836792689	unclassified	Pl_11709.1.5
POINT (3.254248 51.319797)	behouden	NA	Pl_11721.8	Polders	OL buiten plan	49	eerste set	0.7704610400504	unclassified	Pl_11721.8
POINT (3.261111 51.315081)	behouden	NA	Pl_11722.1.5	Polders	OL buiten plan	1	eerste set	0.562155105408922	unclassified	Pl_11722.1.5
POINT (3.059618 51.182081)	behouden	NA	Pl_11729.3	Polders	HOL buiten plan	50	eerste set	0.680606529226033	unclassified	Pl_11729.3
POINT (3.279515 51.312524)	behouden	NA	Pl_11738.2.13	Polders	OL buiten plan	10	eerste set	0.823365329086911	unclassified	Pl_11738.2.13
POINT (3.296521 51.309936)	behouden	NA	Pl_11738.5	Polders	HOL buiten plan	25	eerste set	0.583903810290203	unclassified	Pl_11738.5
POINT (2.711294 51.045726)	behouden	NA	Pl_11780.3	Polders	OL binnen plan	27	eerste set	0.700398603218299	unclassified	Pl_11780.3
POINT (2.799605 51.034307)	behouden	NA	Pl_11785.2.4	Polders	OL binnen plan	45	eerste set	0.70468814016721	unclassified	Pl_11785.2.4
POINT (2.810815 51.028439)	behouden	NA	Pl_11786.1.1	Polders	OL binnen plan	4	eerste set	0.669318274097316	unclassified	Pl_11786.1.1
POINT (3.275137 51.328434)	behouden	NA	Pl_11816.1.3	Polders	OL buiten plan	42	eerste set	0.756764623827571	unclassified	Pl_11816.1.3
POINT (3.279088 51.333624)	behouden	NA	Pl_11818.1	Polders	HOL buiten plan	6	eerste set	0.738026120313988	track	Pl_11818.1
POINT (2.832295 51.012483)	behouden	NA	Pl_12272.4	Polders	HOL binnen plan	3	eerste set	0.771364100460677	unclassified	Pl_12272.4
POINT (3.114669 51.264459)	behouden	NA	Pl_12293.21	Polders	OL binnen plan	51	eerste set	0.793639590581333	unclassified	Pl_12293.21
POINT (2.842591 51.123083)	behouden	NA	Pl_12362.1	Polders	OL binnen plan	41	eerste set	0.618972656223359	track	Pl_12362.1
POINT (3.3491 51.251437)	behouden	NA	Pl_12751.2	Polders	HOL buiten plan	52	eerste set	0.696861616611366	track	Pl_12751.2
POINT (3.291466 51.298414)	behouden	NA	Pl_13088.2.4	Polders	HOL binnen plan	5	eerste set	0.565993112152641	unclassified	Pl_13088.2.4
POINT (3.322734 51.31718)	behouden	NA	Pl_13114.6	Polders	HOL buiten plan	8	eerste set	0.631766012035842	unclassified	Pl_13114.6
POINT (2.904547 51.136082)	behouden	NA	Pl_13119	Polders	HOL buiten plan	82	reserve set	0.500521232406252	unclassified	Pl_13119
POINT (2.757879 51.00856)	behouden	NA	Pl_13332.1.1	Polders	OL binnen plan	44	eerste set	0.642301716822659	unclassified	Pl_13332.1.1
POINT (2.803446 50.984854)	behouden	NA	Pl_13335.1	Polders	HOL binnen plan	10	eerste set	0.507595205620242	unclassified	Pl_13335.1
POINT (2.742572 51.066169)	behouden	NA	Pl_13377	Polders	OL binnen plan	2	eerste set	0.694152435380419	tertiary	Pl_13377
POINT (2.760542 51.04763)	behouden	NA	Pl_13567.3	Polders	OL binnen plan	49	eerste set	0.71100956303932	track	Pl_13567.3
