WKT	pointid	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	beslissing	vervanging_id	pointid_from_targets
POINT (4.562935 51.093475)	Zn_14605.2	Zandstreek	HOL binnen plan	47	eerste set	0.281830103046366	unclassified	behouden	NA	Zn_14605.2
POINT (4.80121 50.91069)	Zn_14885.1	Zandstreek	OL binnen plan	51	eerste set	0.656750683387398	track	behouden	NA	Zn_14885.1
POINT (4.530042 51.11566)	Zn_15587.5	Zandstreek	HOL binnen plan	50	eerste set	0.378457566947984	unclassified	behouden	NA	Zn_15587.5
POINT (3.13553 51.118646)	Zn_1566.3.2	Zandstreek	HOL buiten plan	47	eerste set	0.607232870889486	unclassified	behouden	NA	Zn_1566.3.2
POINT (3.249964 51.08381)	Zn_1592.1	Zandstreek	OL buiten plan	48	eerste set	0.621757092488416	unclassified	behouden	NA	Zn_1592.1
POINT (4.797629 50.902243)	Zn_16692.1	Zandstreek	OL binnen plan	2	eerste set	0.402012392649918	unclassified	behouden	NA	Zn_16692.1
POINT (4.404524 50.982547)	Zn_16740.1	Zandstreek	OL buiten plan	58	reserve set	0.608737971573327	track	behouden	NA	Zn_16740.1
POINT (4.599869 51.170063)	Zn_17946	Zandstreek	HOL binnen plan	9	eerste set	0.289355606465492	unclassified	behouden	NA	Zn_17946
POINT (4.566054 51.156511)	Zn_17982.3	Zandstreek	HOL buiten plan	14	eerste set	0.720642207415781	unclassified	behouden	NA	Zn_17982.3
POINT (3.219064 51.158281)	Zn_18057.5	Zandstreek	HOL buiten plan	12	eerste set	0.666910113003215	tertiary	behouden	NA	Zn_18057.5
POINT (4.484724 51.064627)	Zn_18244.1	Zandstreek	HOL binnen plan	14	eerste set	0.43211440632636	unclassified	behouden	NA	Zn_18244.1
POINT (3.202455 51.058566)	Zn_18806.3	Zandstreek	OL binnen plan	5	eerste set	0.795596221470345	unclassified	behouden	NA	Zn_18806.3
POINT (3.601592 50.934202)	Zn_18836.1.8	Zandstreek	OL buiten plan	57	reserve set	0.825773490181036	unclassified	behouden	NA	Zn_18836.1.8
POINT (3.486158 51.106697)	Zn_18867.12	Zandstreek	OL buiten plan	41	eerste set	0.672403730499142	unclassified	behouden	NA	Zn_18867.12
POINT (3.415314 51.110888)	Zn_18968.1	Zandstreek	HOL binnen plan	3	eerste set	0.600008387607149	unclassified	behouden	NA	Zn_18968.1
POINT (3.4134 51.113419)	Zn_18968.2.3	Zandstreek	OL binnen plan	41	eerste set	0.701000643491853	unclassified	behouden	NA	Zn_18968.2.3
POINT (3.159885 51.068212)	Zn_18984.2	Zandstreek	OL binnen plan	22	eerste set	0.626272394539923	tertiary	behouden	NA	Zn_18984.2
POINT (3.37273 51.174218)	Zn_19323.7.3	Zandstreek	OL buiten plan	42	eerste set	0.598954817128466	tertiary	behouden	NA	Zn_19323.7.3
POINT (3.160894 51.058811)	Zn_19482.2	Zandstreek	HOL binnen plan	18	eerste set	0.457023822643695	unclassified	behouden	NA	Zn_19482.2
POINT (3.258154 51.086196)	Zn_19514.2	Zandstreek	OL buiten plan	55	reserve set	0.648924159831476	unclassified	behouden	NA	Zn_19514.2
POINT (3.13072 51.078092)	Zn_19685.1.6	Zandstreek	OL buiten plan	3	eerste set	0.674510871456508	unclassified	behouden	NA	Zn_19685.1.6
POINT (3.197464 51.065037)	Zn_19937.4	Zandstreek	OL binnen plan	8	eerste set	0.765945737998964	unclassified	behouden	NA	Zn_19937.4
POINT (3.447393 51.013878)	Zn_20026.2	Zandstreek	OL buiten plan	35	eerste set	0.709504462355479	unclassified	behouden	NA	Zn_20026.2
POINT (4.219092 51.160453)	Zn_20159	Zandstreek	HOL buiten plan	54	reserve set	0.350086419057913	unclassified	behouden	NA	Zn_20159
POINT (3.086219 51.032638)	Zn_20431.1.3	Zandstreek	OL buiten plan	16	eerste set	0.683390965491096	unclassified	behouden	NA	Zn_20431.1.3
POINT (3.211784 50.960564)	Zn_20556.2.5	Zandstreek	HOL buiten plan	40	eerste set	0.629884636181097	unclassified	behouden	NA	Zn_20556.2.5
POINT (3.097435 51.173013)	Zn_20591.9	Zandstreek	HOL buiten plan	8	eerste set	0.527312024578364	unclassified	behouden	NA	Zn_20591.9
POINT (2.920743 51.082109)	Zn_21151.1.5	Zandstreek	OL buiten plan	15	eerste set	0.775277362238671	tertiary	behouden	NA	Zn_21151.1.5
POINT (3.019527 51.137832)	Zn_22023.1.5	Zandstreek	OL buiten plan	37	eerste set	0.732984033023159	unclassified	behouden	NA	Zn_22023.1.5
POINT (3.026766 51.150801)	Zn_22060.1.6	Zandstreek	OL buiten plan	31	eerste set	0.678950918473835	tertiary	behouden	NA	Zn_22060.1.6
POINT (4.439515 51.02138)	Zn_23217.5	Zandstreek	HOL binnen plan	34	eerste set	0.443477916489201	track	behouden	NA	Zn_23217.5
POINT (3.443132 50.994927)	Zn_23339.9	Zandstreek	OL buiten plan	11	eerste set	0.657804253866055	unclassified	behouden	NA	Zn_23339.9
POINT (3.670642 50.942222)	Zn_24372.1	Zandstreek	HOL buiten plan	34	eerste set	0.600610427880704	track	behouden	NA	Zn_24372.1
POINT (2.890643 51.075919)	Zn_24421.3	Zandstreek	OL binnen plan	37	eerste set	0.713492979167604	unclassified	behouden	NA	Zn_24421.3
POINT (3.315038 51.151014)	Zn_2452.10	Zandstreek	HOL buiten plan	38	eerste set	0.624315763650928	unclassified	behouden	NA	Zn_2452.10
POINT (3.026003 51.044803)	Zn_25088.3.1	Zandstreek	OL buiten plan	12	eerste set	0.582172944503807	unclassified	behouden	NA	Zn_25088.3.1
POINT (3.059266 51.031919)	Zn_25090.3	Zandstreek	HOL binnen plan	59	reserve set	0.353021365391334	unclassified	behouden	NA	Zn_25090.3
POINT (2.884522 51.065805)	Zn_26508.1.6	Zandstreek	OL binnen plan	3	eerste set	0.791306684521381	unclassified	behouden	NA	Zn_26508.1.6
POINT (3.329668 51.145201)	Zn_26905.4	Zandstreek	OL binnen plan	6	eerste set	0.725308019535651	track	behouden	NA	Zn_26905.4
POINT (3.050289 51.044761)	Zn_26979.2	Zandstreek	OL buiten plan	54	reserve set	0.740058006237133	unclassified	behouden	NA	Zn_26979.2
POINT (3.677955 51.211166)	Zn_27311.3	Zandstreek	HOL buiten plan	61	reserve set	0.455368211891462	unclassified	behouden	NA	Zn_27311.3
POINT (3.647441 51.240663)	Zn_27351.2.2	Zandstreek	OL buiten plan	25	eerste set	0.660814455233734	unclassified	behouden	NA	Zn_27351.2.2
POINT (3.602389 51.232318)	Zn_27368.2	Zandstreek	HOL buiten plan	9	eerste set	0.698968757568716	unclassified	behouden	NA	Zn_27368.2
POINT (4.271622 51.170101)	Zn_2751.4	Zandstreek	HOL buiten plan	35	eerste set	0.415483043770099	tertiary	behouden	NA	Zn_2751.4
POINT (3.167516 51.222451)	Zn_27547.1	Zandstreek	OL binnen plan	43	eerste set	0.742014637126096	unclassified	behouden	NA	Zn_27547.1
POINT (3.355149 51.143514)	Zn_27928.3	Zandstreek	HOL binnen plan	12	eerste set	0.495930675320585	unclassified	behouden	NA	Zn_27928.3
POINT (3.376063 51.22778)	Zn_28344.4	Zandstreek	HOL buiten plan	13	eerste set	0.563509696024359	tertiary	behouden	NA	Zn_28344.4
POINT (3.513035 51.220679)	Zn_29251.2.1	Zandstreek	HOL binnen plan	7	eerste set	0.658180529036973	unclassified	behouden	NA	Zn_29251.2.1
POINT (3.497261 51.22651)	Zn_29252.7	Zandstreek	OL binnen plan	81	reserve set	0.771288845426492	unclassified	behouden	NA	Zn_29252.7
POINT (4.667586 50.968224)	Zn_29392.1.1	Zandstreek	OL buiten plan	5	eerste set	0.837964805719956	unclassified	behouden	NA	Zn_29392.1.1
POINT (4.473763 51.106187)	Zn_2942	Zandstreek	HOL buiten plan	4	eerste set	0.438134809061671	unclassified	behouden	NA	Zn_2942
POINT (2.999857 51.046806)	Zn_29972.3	Zandstreek	OL buiten plan	28	eerste set	0.536643648818068	unclassified	behouden	NA	Zn_29972.3
POINT (3.486885 50.969746)	Zn_30253.2.20	Zandstreek	HOL buiten plan	24	eerste set	0.292064787696389	unclassified	behouden	NA	Zn_30253.2.20
POINT (2.94264 51.039713)	Zn_30371.6	Zandstreek	OL buiten plan	9	eerste set	0.767225073580193	tertiary	behouden	NA	Zn_30371.6
POINT (4.221562 51.104455)	Zn_30461.7	Zandstreek	HOL binnen plan	51	eerste set	0.41510676859916	track	behouden	NA	Zn_30461.7
POINT (3.252097 51.267002)	Zn_30629.4.4	Zandstreek	OL binnen plan	70	eerste set	0.691292744081177	unclassified	behouden	NA	Zn_30629.4.4
POINT (3.009405 51.035168)	Zn_31292.3	Zandstreek	OL buiten plan	46	eerste set	0.700248093149951	tertiary	behouden	NA	Zn_31292.3
POINT (3.169676 51.070073)	Zn_31301.1	Zandstreek	OL binnen plan	39	eerste set	0.690690703807644	unclassified	behouden	NA	Zn_31301.1
POINT (3.54923 51.110445)	Zn_31427.6	Zandstreek	OL buiten plan	20	eerste set	0.71439603957787	unclassified	behouden	NA	Zn_31427.6
POINT (4.606411 51.123943)	Zn_3144.2	Zandstreek	HOL binnen plan	54	reserve set	0.653213696780539	unclassified	behouden	NA	Zn_3144.2
POINT (4.688149 50.943257)	Zn_31549.7	Zandstreek	HOL buiten plan	16	eerste set	0.582398709606341	track	behouden	NA	Zn_31549.7
POINT (3.507932 50.901535)	Zn_31724	Zandstreek	HOL buiten plan	49	eerste set	0.266779096208122	unclassified	behouden	NA	Zn_31724
POINT (3.38727 51.126407)	Zn_32289	Zandstreek	HOL binnen plan	63	reserve set	0.642903757096107	track	behouden	NA	Zn_32289
POINT (3.51165 50.935194)	Zn_32418.1	Zandstreek	HOL buiten plan	37	eerste set	0.494199809534184	unclassified	behouden	NA	Zn_32418.1
POINT (3.49489 50.947851)	Zn_32429.1	Zandstreek	HOL buiten plan	28	eerste set	0.401937137615702	unclassified	behouden	NA	Zn_32429.1
POINT (3.349427 51.159699)	Zn_32710.3	Zandstreek	OL binnen plan	15	eerste set	0.653890992088149	track	behouden	NA	Zn_32710.3
POINT (3.467533 51.009572)	Zn_33943.3	Zandstreek	OL buiten plan	23	eerste set	0.631013461693957	tertiary	behouden	NA	Zn_33943.3
POINT (4.062995 51.204524)	Zn_33957	Zandstreek	HOL buiten plan	25	eerste set	0.450852909839986	track	behouden	NA	Zn_33957
POINT (3.487124 51.178044)	Zn_34183.2	Zandstreek	OL buiten plan	38	eerste set	0.646666508805764	unclassified	behouden	NA	Zn_34183.2
POINT (4.416003 51.039003)	Zn_34609	Zandstreek	HOL binnen plan	22	eerste set	0.416461359214583	unclassified	behouden	NA	Zn_34609
POINT (3.248926 51.273992)	Zn_34665.1	Zandstreek	OL binnen plan	53	eerste set	0.658857824344724	unclassified	behouden	NA	Zn_34665.1
POINT (3.305064 51.216397)	Zn_34811.10	Zandstreek	HOL buiten plan	32	eerste set	0.772417670939362	unclassified	behouden	NA	Zn_34811.10
POINT (4.416609 51.023408)	Zn_34831.8	Zandstreek	OL binnen plan	21	eerste set	0.785963577093839	track	behouden	NA	Zn_34831.8
POINT (3.314845 51.238592)	Zn_35328.1.2	Zandstreek	HOL binnen plan	1	eerste set	0.673758321114654	unclassified	behouden	NA	Zn_35328.1.2
POINT (3.243318 51.239453)	Zn_3578.1.6	Zandstreek	HOL buiten plan	6	eerste set	0.635905038916397	track	behouden	NA	Zn_3578.1.6
POINT (4.028307 51.020099)	Zn_35801.1.6	Zandstreek	HOL binnen plan	10	eerste set	0.509476581475042	unclassified	behouden	NA	Zn_35801.1.6
POINT (3.666231 51.211346)	Zn_35843.1.46	Zandstreek	OL binnen plan	49	eerste set	0.851209691737625	unclassified	behouden	NA	Zn_35843.1.46
POINT (3.670824 51.205266)	Zn_35845.6	Zandstreek	OL binnen plan	18	eerste set	0.823139563984305	unclassified	behouden	NA	Zn_35845.6
POINT (3.632658 51.137469)	Zn_35868.3	Zandstreek	OL buiten plan	27	eerste set	0.781598785110743	track	behouden	NA	Zn_35868.3
POINT (3.508274 50.923219)	Zn_36126.2.11	Zandstreek	OL buiten plan	13	eerste set	0.767450838682772	unclassified	behouden	NA	Zn_36126.2.11
POINT (4.366282 51.022768)	Zn_36191.2	Zandstreek	HOL binnen plan	24	eerste set	0.311631096586166	track	behouden	NA	Zn_36191.2
POINT (3.972418 51.071867)	Zn_36256.1.1	Zandstreek	HOL buiten plan	7	eerste set	0.422481761949901	unclassified	behouden	NA	Zn_36256.1.1
POINT (3.619052 51.189942)	Zn_36374.2.2	Zandstreek	OL buiten plan	7	eerste set	0.796348771812213	unclassified	behouden	NA	Zn_36374.2.2
POINT (3.534129 51.217391)	Zn_36463.8	Zandstreek	HOL binnen plan	29	eerste set	0.49239368871358	unclassified	behouden	NA	Zn_36463.8
POINT (3.324898 51.072807)	Zn_36747.1	Zandstreek	OL buiten plan	33	eerste set	0.529795440706663	unclassified	behouden	NA	Zn_36747.1
POINT (2.915043 51.029403)	Zn_36958.5	Zandstreek	OL binnen plan	101	reserve set	0.633647387890651	track	behouden	NA	Zn_36958.5
POINT (3.292407 51.238643)	Zn_37099.1.4	Zandstreek	HOL binnen plan	58	reserve set	0.566595152426233	tertiary	behouden	NA	Zn_37099.1.4
POINT (4.023162 51.026889)	Zn_37177	Zandstreek	HOL binnen plan	31	eerste set	0.500746997508821	unclassified	behouden	NA	Zn_37177
POINT (3.081978 51.106591)	Zn_37208.8	Zandstreek	OL buiten plan	21	eerste set	0.701602683765382	tertiary	behouden	NA	Zn_37208.8
POINT (3.303156 51.221672)	Zn_37439.3	Zandstreek	OL buiten plan	49	eerste set	0.750443200955526	track	behouden	NA	Zn_37439.3
POINT (2.912812 51.041588)	Zn_37618.1	Zandstreek	OL binnen plan	50	eerste set	0.525054373552619	track	behouden	NA	Zn_37618.1
POINT (3.686668 51.200279)	Zn_37804	Zandstreek	HOL binnen plan	62	reserve set	0.37040527828952	tertiary	behouden	NA	Zn_37804
POINT (3.342884 51.1206)	Zn_38366	Zandstreek	HOL binnen plan	72	reserve set	0.672027455328201	track	behouden	NA	Zn_38366
POINT (3.462151 50.97403)	Zn_38463.4	Zandstreek	OL buiten plan	4	eerste set	0.536417883715522	unclassified	behouden	NA	Zn_38463.4
POINT (3.239643 51.265367)	Zn_38707.1.11	Zandstreek	OL binnen plan	77	reserve set	0.637033864429281	unclassified	behouden	NA	Zn_38707.1.11
POINT (3.674005 51.115842)	Zn_39483.6	Zandstreek	OL buiten plan	10	eerste set	0.596170380863392	unclassified	behouden	NA	Zn_39483.6
POINT (3.186888 51.055214)	Zn_39774.9	Zandstreek	HOL binnen plan	71	reserve set	0.566595152426194	track	behouden	NA	Zn_39774.9
POINT (3.176417 51.064385)	Zn_39790.2	Zandstreek	OL binnen plan	28	eerste set	0.601739253393541	unclassified	behouden	NA	Zn_39790.2
POINT (3.448773 50.970372)	Zn_39890.8	Zandstreek	HOL buiten plan	18	eerste set	0.69964605287643	track	behouden	NA	Zn_39890.8
POINT (2.935608 51.106659)	Zn_40638.1.5	Zandstreek	OL buiten plan	32	eerste set	0.621380817317494	tertiary	behouden	NA	Zn_40638.1.5
POINT (3.339875 50.943503)	Zn_40770	Zandstreek	OL buiten plan	14	eerste set	0.555457407365888	unclassified	behouden	NA	Zn_40770
POINT (3.941243 51.084033)	Zn_41133.1	Zandstreek	HOL buiten plan	36	eerste set	0.720491697347398	tertiary	behouden	NA	Zn_41133.1
POINT (3.944527 51.040378)	Zn_41173.3	Zandstreek	HOL binnen plan	37	eerste set	0.428577419719408	track	behouden	NA	Zn_41173.3
POINT (4.22086 51.221581)	Zn_4118.2.1	Zandstreek	HOL binnen plan	4	eerste set	0.378231801845465	unclassified	behouden	NA	Zn_4118.2.1
POINT (4.025605 51.077219)	Zn_41229.1.1	Zandstreek	HOL buiten plan	31	eerste set	0.338798163929169	unclassified	behouden	NA	Zn_41229.1.1
POINT (4.093764 51.180771)	Zn_41425.7	Zandstreek	OL buiten plan	56	reserve set	0.631389736864935	unclassified	behouden	NA	Zn_41425.7
POINT (4.018324 51.054098)	Zn_41589.5	Zandstreek	OL binnen plan	7	eerste set	0.739531220997777	track	behouden	NA	Zn_41589.5
POINT (3.843363 51.013016)	Zn_42425.2	Zandstreek	HOL buiten plan	2	eerste set	0.264972975387492	unclassified	behouden	NA	Zn_42425.2
POINT (3.188085 51.113112)	Zn_42891.4	Zandstreek	OL buiten plan	63	reserve set	0.6991192676371	unclassified	behouden	NA	Zn_42891.4
POINT (3.551181 51.114034)	Zn_43166.6	Zandstreek	HOL buiten plan	45	eerste set	0.694679220619824	track	behouden	NA	Zn_43166.6
POINT (4.142405 51.065552)	Zn_43178.1	Zandstreek	HOL buiten plan	23	eerste set	0.684218770867227	unclassified	behouden	NA	Zn_43178.1
POINT (4.542027 51.185001)	Zn_4330.1	Zandstreek	HOL buiten plan	57	reserve set	0.481481708755918	track	behouden	NA	Zn_4330.1
POINT (4.141716 51.250973)	Zn_43931.6	Zandstreek	OL binnen plan	1	eerste set	0.734112858536046	unclassified	behouden	NA	Zn_43931.6
POINT (4.394948 51.017615)	Zn_44881.7	Zandstreek	OL binnen plan	13	eerste set	0.70431186499626	track	behouden	NA	Zn_44881.7
POINT (3.414769 51.186289)	Zn_45128	Zandstreek	OL buiten plan	2	eerste set	0.674887146627433	track	behouden	NA	Zn_45128
POINT (4.379277 51.010974)	Zn_45164	Zandstreek	HOL binnen plan	57	reserve set	0.414203708188819	track	behouden	NA	Zn_45164
POINT (3.426197 50.921712)	Zn_45407	Zandstreek	HOL buiten plan	48	eerste set	0.578635957896823	track	behouden	NA	Zn_45407
POINT (3.366939 51.061812)	Zn_45650.1	Zandstreek	OL buiten plan	29	eerste set	0.605276240000547	track	behouden	NA	Zn_45650.1
POINT (2.891183 51.048569)	Zn_4718.2.2	Zandstreek	OL binnen plan	47	eerste set	0.650880790720466	unclassified	behouden	NA	Zn_4718.2.2
POINT (3.386718 50.950239)	Zn_47611.2	Zandstreek	OL buiten plan	45	eerste set	0.702656254244068	track	behouden	NA	Zn_47611.2
POINT (3.615729 51.210317)	Zn_47695.5	Zandstreek	OL buiten plan	18	eerste set	0.824343644531417	unclassified	behouden	NA	Zn_47695.5
POINT (2.893548 51.03814)	Zn_48490.20	Zandstreek	OL binnen plan	27	eerste set	0.707171556295518	track	behouden	NA	Zn_48490.20
POINT (2.904868 51.036883)	Zn_48490.4	Zandstreek	HOL binnen plan	13	eerste set	0.638689475181474	track	behouden	NA	Zn_48490.4
POINT (4.789331 50.954526)	Zn_49107.1.2	Zandstreek	HOL buiten plan	20	eerste set	0.34812978816884	unclassified	behouden	NA	Zn_49107.1.2
POINT (4.257149 51.159792)	Zn_4915.5	Zandstreek	HOL buiten plan	50	eerste set	0.503681943842318	unclassified	behouden	NA	Zn_4915.5
POINT (4.283981 51.098611)	Zn_49415.3	Zandstreek	OL buiten plan	8	eerste set	0.578109172657583	track	behouden	NA	Zn_49415.3
POINT (4.209505 51.026536)	Zn_50914.8	Zandstreek	OL buiten plan	22	eerste set	0.679853978884054	track	behouden	NA	Zn_50914.8
POINT (3.363949 51.136929)	Zn_52447.2	Zandstreek	OL binnen plan	19	eerste set	0.68768050244001	unclassified	behouden	NA	Zn_52447.2
POINT (4.60995 51.084541)	Zn_53530.7	Zandstreek	HOL buiten plan	26	eerste set	0.551995675793053	unclassified	behouden	NA	Zn_53530.7
POINT (4.26083 51.081012)	Zn_54434.1	Zandstreek	OL buiten plan	53	reserve set	0.85301581255828	track	behouden	NA	Zn_54434.1
POINT (3.573249 50.97328)	Zn_55093.2	Zandstreek	HOL buiten plan	52	reserve set	0.631013461693946	tertiary	behouden	NA	Zn_55093.2
POINT (4.187314 51.014542)	Zn_5603.3	Zandstreek	HOL buiten plan	1	eerste set	0.437156493617202	track	behouden	NA	Zn_5603.3
POINT (3.771042 51.18819)	Zn_56724.1	Zandstreek	OL buiten plan	43	eerste set	0.579087488101947	unclassified	behouden	NA	Zn_56724.1
POINT (4.236864 51.074781)	Zn_5700.12	Zandstreek	HOL buiten plan	15	eerste set	0.644183092677407	track	behouden	NA	Zn_5700.12
POINT (3.374035 51.15792)	Zn_57475.2	Zandstreek	OL binnen plan	102	reserve set	0.769633234674332	track	behouden	NA	Zn_57475.2
POINT (4.425981 50.979334)	Zn_5817.1.6	Zandstreek	HOL buiten plan	51	reserve set	0.574873206187223	unclassified	behouden	NA	Zn_5817.1.6
POINT (4.168923 51.072778)	Zn_5973.2	Zandstreek	HOL buiten plan	10	eerste set	0.527763554783534	unclassified	behouden	NA	Zn_5973.2
POINT (2.96882 51.046251)	Zn_60431.3	Zandstreek	OL buiten plan	26	eerste set	0.623563213309022	track	behouden	NA	Zn_60431.3
POINT (4.032261 51.033224)	Zn_60961.8	Zandstreek	OL binnen plan	75	eerste set	0.536568393783918	track	behouden	NA	Zn_60961.8
POINT (4.380895 51.02942)	Zn_60977	Zandstreek	HOL binnen plan	28	eerste set	0.566143622221042	tertiary	behouden	NA	Zn_60977
POINT (3.086854 51.045812)	Zn_61389.2	Zandstreek	HOL buiten plan	21	eerste set	0.591128293572616	track	behouden	NA	Zn_61389.2
POINT (4.068957 51.03927)	Zn_61481.8	Zandstreek	HOL binnen plan	27	eerste set	0.516249534552244	unclassified	behouden	NA	Zn_61481.8
POINT (4.716916 51.117861)	Zn_6210.1.1	Zandstreek	HOL binnen plan	40	eerste set	0.376726701161626	unclassified	behouden	NA	Zn_6210.1.1
POINT (3.964511 51.164578)	Zn_63128.13	Zandstreek	OL binnen plan	20	eerste set	0.696033811235207	track	behouden	NA	Zn_63128.13
POINT (3.992037 51.215273)	Zn_64250.2	Zandstreek	HOL buiten plan	44	eerste set	0.395239439572638	track	behouden	NA	Zn_64250.2
POINT (4.171471 51.225992)	Zn_6747.9	Zandstreek	OL binnen plan	88	reserve set	0.568024998075859	unclassified	behouden	NA	Zn_6747.9
POINT (4.422076 51.001375)	Zn_68127	Zandstreek	HOL binnen plan	48	eerste set	0.69693687164561	track	behouden	NA	Zn_68127
POINT (4.376245 51.0604)	Zn_70022.6	Zandstreek	HOL binnen plan	39	eerste set	0.283937244003734	track	behouden	NA	Zn_70022.6
POINT (4.073435 51.074129)	Zn_71636	Zandstreek	OL buiten plan	50	eerste set	0.608963736675948	track	behouden	NA	Zn_71636
POINT (4.57878 50.97002)	Zn_7256.1	Zandstreek	HOL buiten plan	3	eerste set	0.508874541201435	unclassified	behouden	NA	Zn_7256.1
POINT (3.990191 51.072371)	Zn_73032.1	Zandstreek	OL buiten plan	30	eerste set	0.650880790720393	track	behouden	NA	Zn_73032.1
POINT (3.931828 51.037945)	Zn_73708.2	Zandstreek	HOL binnen plan	43	eerste set	0.406377184632992	unclassified	behouden	NA	Zn_73708.2
POINT (3.912235 51.02612)	Zn_75640.1	Zandstreek	OL binnen plan	67	eerste set	0.858208409917456	track	behouden	NA	Zn_75640.1
POINT (3.493289 51.00148)	Zn_76517.4	Zandstreek	OL buiten plan	6	eerste set	0.767902368887943	track	behouden	NA	Zn_76517.4
POINT (4.249572 50.99576)	Zn_7764.4	Zandstreek	HOL buiten plan	46	eerste set	0.644258347711608	unclassified	behouden	NA	Zn_7764.4
POINT (3.317161 51.19511)	Zn_78664.3	Zandstreek	HOL buiten plan	59	reserve set	0.591730333846122	unclassified	behouden	NA	Zn_78664.3
POINT (2.945056 51.0282)	Zn_79507.8	Zandstreek	OL binnen plan	32	eerste set	0.727565670561397	track	behouden	NA	Zn_79507.8
POINT (3.480838 51.055653)	Zn_79775	Zandstreek	OL buiten plan	36	eerste set	0.410215191376721	track	behouden	NA	Zn_79775
POINT (2.965634 50.985459)	Zn_8045	Zandstreek	HOL buiten plan	33	eerste set	0.550264810006688	unclassified	behouden	NA	Zn_8045
POINT (4.686925 51.1124)	Zn_82440.2	Zandstreek	HOL binnen plan	32	eerste set	0.326606848390173	track	behouden	NA	Zn_82440.2
POINT (4.194201 51.199663)	Zn_83021.2.1	Zandstreek	HOL buiten plan	53	reserve set	0.422707527052456	unclassified	behouden	NA	Zn_83021.2.1
POINT (3.899971 51.161138)	Zn_8318.14	Zandstreek	HOL binnen plan	44	eerste set	0.760978905742385	track	behouden	NA	Zn_8318.14
POINT (2.881536 51.043743)	Zn_83307.10	Zandstreek	OL binnen plan	65	eerste set	0.687680502439991	unclassified	behouden	NA	Zn_83307.10
POINT (3.86888 51.15928)	Zn_8363.9	Zandstreek	OL binnen plan	93	reserve set	0.813582174642117	unclassified	behouden	NA	Zn_8363.9
POINT (3.539477 51.233286)	Zn_84420.4	Zandstreek	HOL binnen plan	73	reserve set	0.382897613965276	unclassified	behouden	NA	Zn_84420.4
POINT (3.561254 51.238753)	Zn_84422.5	Zandstreek	HOL binnen plan	36	eerste set	0.735994234390853	unclassified	behouden	NA	Zn_84422.5
POINT (3.582254 51.238846)	Zn_84988.5	Zandstreek	HOL binnen plan	30	eerste set	0.665254502251039	track	behouden	NA	Zn_84988.5
POINT (3.57188 51.023948)	Zn_85913.2	Zandstreek	HOL buiten plan	56	reserve set	0.623939488479971	unclassified	behouden	NA	Zn_85913.2
POINT (3.13765 51.222646)	Zn_86222.14	Zandstreek	OL binnen plan	104	reserve set	0.738778670655826	track	behouden	NA	Zn_86222.14
POINT (4.390184 51.043757)	Zn_8718.1	Zandstreek	HOL binnen plan	17	eerste set	0.50187582302175	unclassified	behouden	NA	Zn_8718.1
