WKT	pointid	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	beslissing	vervanging_id	pointid_from_targets
POINT (3.915595 51.154873)	Maaibos	Zandstreek	OL binnen plan	36	eerste set	0.794994181196772	track	vervangen door bestaand	Maaibos	Zn_63159.9
POINT (4.158457 51.23185)	SGW	Zandstreek	OL binnen plan	33	eerste set	0.735241684048862	unclassified	vervangen door bestaand	SGW	Zn_8224.5
POINT (3.918316 51.002992)	Zn_10181.4	Zandstreek	HOL binnen plan	8	eerste set	0.469365648251043	unclassified	behouden	NA	Zn_10181.4
POINT (3.391631 51.123863)	Zn_103891.3	Zandstreek	OL binnen plan	76	eerste set	0.746605194211737	track	behouden	NA	Zn_103891.3
POINT (3.560994 51.23166)	Zn_11800.5.4	Zandstreek	OL binnen plan	55	eerste set	0.719739147005486	unclassified	behouden	NA	Zn_11800.5.4
POINT (4.445071 51.021083)	Zn_11916.3	Zandstreek	HOL buiten plan	5	eerste set	0.409011110829647	track	behouden	NA	Zn_11916.3
POINT (3.720193 51.24131)	Zn_12514	Zandstreek	OL binnen plan	14	eerste set	0.703709824722725	unclassified	behouden	NA	Zn_12514
POINT (3.720557 51.250423)	Zn_12515.2.2	Zandstreek	OL binnen plan	4	eerste set	0.650655025617898	unclassified	behouden	NA	Zn_12515.2.2
POINT (4.10869 51.253066)	Zn_12614.12	Zandstreek	OL binnen plan	84	reserve set	0.889062973935936	unclassified	behouden	NA	Zn_12614.12
POINT (4.098416 51.248303)	Zn_12619.1.9	Zandstreek	OL binnen plan	10	eerste set	0.717857771150726	unclassified	behouden	NA	Zn_12619.1.9
POINT (4.11302 51.246536)	Zn_12642.1.23	Zandstreek	OL binnen plan	23	eerste set	0.771364100460786	unclassified	behouden	NA	Zn_12642.1.23
POINT (4.402202 51.018728)	Zn_1318.4	Zandstreek	HOL binnen plan	65	reserve set	0.634174173129866	unclassified	behouden	NA	Zn_1318.4
POINT (4.768855 50.875106)	Zn_1417.4	Zandstreek	OL binnen plan	58	eerste set	0.58841911234169	tertiary	behouden	NA	Zn_1417.4
POINT (3.5451 51.14987)	Zn_14270.6	Zandstreek	OL buiten plan	24	eerste set	0.847371684993877	unclassified	behouden	NA	Zn_14270.6
POINT (4.585939 51.113612)	Zn_14318.1	Zandstreek	HOL binnen plan	66	reserve set	0.469817178456236	unclassified	behouden	NA	Zn_14318.1
