WKT	beslissing	vervanging_id	pointid_from_targets	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	pointid
POINT (5.460833 51.107254)	behouden	NA	Km_10019	Kempen	HOL binnen plan	1	eerste set	369.050.687.674.127	unclassified	Km_10019
POINT (5.42433 51.065265)	behouden	NA	Km_10056.3	Kempen	HOL binnen plan	5	eerste set	44.114.501.042.934	unclassified	Km_10056.3
POINT (5.755164 51.118067)	behouden	NA	Km_10183.4	Kempen	OL buiten plan	58	eerste set	671.876.945.259.741	unclassified	Km_10183.4
POINT (5.754989 51.16612)	behouden	NA	Km_10910	Kempen	HOL binnen plan	57	eerste set	567.422.957.802.424	unclassified	Km_10910
POINT (4.702986 51.157207)	behouden	NA	Km_11227.2	Kempen	HOL buiten plan	17	eerste set	290.183.411.841.624	track	Km_11227.2
POINT (5.10112 51.310381)	behouden	NA	Km_11396.7	Kempen	OL buiten plan	32	eerste set	759.699.570.161.075	unclassified	Km_11396.7
POINT (4.598352 51.422325)	behouden	NA	Km_11561.7	Kempen	OL binnen plan	23	eerste set	880.182.879.901.364	unclassified	Km_11561.7
POINT (4.612931 51.419026)	behouden	NA	Km_11563.6	Kempen	OL binnen plan	9	eerste set	789.801.583.837.459	unclassified	Km_11563.6
POINT (4.623107 51.417107)	behouden	NA	Km_11564.5	Kempen	OL buiten plan	48	eerste set	687.228.972.234.874	unclassified	Km_11564.5
POINT (4.665051 51.377675)	behouden	NA	Km_11579.15	Kempen	OL buiten plan	57	eerste set	829.686.751.958.979	unclassified	Km_11579.15
POINT (4.691142 51.386971)	behouden	NA	Km_11594.1.2	Kempen	OL buiten plan	3	eerste set	479.148.802.695.889	unclassified	Km_11594.1.2
POINT (5.769689 51.140762)	behouden	NA	Km_11631.1.2	Kempen	OL buiten plan	66	reserve set	665.179.247.216.802	unclassified	Km_11631.1.2
POINT (4.773702 51.104692)	behouden	NA	Km_12411.5	Kempen	HOL binnen plan	41	eerste set	679.026.173.508.044	track	Km_12411.5
POINT (4.715453 51.374402)	behouden	NA	Km_12477.1	Kempen	HOL buiten plan	25	eerste set	460.410.299.182.332	unclassified	Km_12477.1
POINT (4.903387 51.195257)	behouden	NA	Km_13449.3	Kempen	OL buiten plan	14	eerste set	752.249.321.776.065	tertiary	Km_13449.3
POINT (4.452023 51.445199)	behouden	NA	Km_13707	Kempen	HOL buiten plan	1	eerste set	463.495.755.584.266	track	Km_13707
POINT (4.917726 51.381645)	behouden	NA	Km_13799.2	Kempen	HOL binnen plan	45	eerste set	401.786.627.547.298	track	Km_13799.2
POINT (4.761986 51.226739)	behouden	NA	Km_13877	Kempen	HOL binnen plan	42	eerste set	503.004.648.534.589	unclassified	Km_13877
POINT (5.570138 51.189589)	behouden	NA	Km_14036.6	Kempen	HOL buiten plan	33	eerste set	564.638.521.537.114	unclassified	Km_14036.6
POINT (4.571124 51.428886)	behouden	NA	Km_14088.11	Kempen	OL binnen plan	28	eerste set	796.273.516.777.928	unclassified	Km_14088.11
POINT (5.412765 51.103267)	behouden	NA	Km_14197.15	Kempen	OL binnen plan	15	eerste set	825.397.215.010.082	track	Km_14197.15
POINT (4.732365 51.411282)	behouden	NA	Km_14264.4	Kempen	OL buiten plan	38	eerste set	823.290.074.052.734	track	Km_14264.4
POINT (4.826317 51.332932)	behouden	NA	Km_14303.4	Kempen	HOL buiten plan	67	reserve set	36.521.268.093.038	unclassified	Km_14303.4
POINT (4.848317 51.387413)	behouden	NA	Km_14535.10	Kempen	OL buiten plan	24	eerste set	749.765.905.647.884	unclassified	Km_14535.10
POINT (5.699398 51.140788)	behouden	NA	Km_14553.16	Kempen	HOL binnen plan	35	eerste set	760.376.865.468.748	track	Km_14553.16
POINT (5.69499 51.142307)	behouden	NA	Km_14554.3	Kempen	OL binnen plan	60	eerste set	641.549.166.480.673	unclassified	Km_14554.3
POINT (5.803108 51.15232)	behouden	NA	Km_14581.2.5	Kempen	OL buiten plan	22	eerste set	653.740.482.019.565	unclassified	Km_14581.2.5
POINT (5.795167 51.152434)	behouden	NA	Km_14583.7	Kempen	OL binnen plan	126	reserve set	746.153.664.006.674	unclassified	Km_14583.7
POINT (5.466845 51.061141)	behouden	NA	Km_14980.20	Kempen	OL binnen plan	107	reserve set	725.082.254.433.095	track	Km_14980.20
POINT (5.455913 51.06135)	behouden	NA	Km_14981.5	Kempen	OL binnen plan	37	eerste set	872.732.631.516.448	track	Km_14981.5
POINT (5.495088 51.068548)	behouden	NA	Km_14985.2	Kempen	HOL binnen plan	43	eerste set	381.768.788.452.405	track	Km_14985.2
POINT (5.599297 51.120114)	behouden	NA	Km_15203	Kempen	HOL buiten plan	53	reserve set	62.153.132.738.595	unclassified	Km_15203
POINT (4.720998 51.365886)	behouden	NA	Km_15471.15	Kempen	OL buiten plan	19	eerste set	866.712.228.780.927	unclassified	Km_15471.15
POINT (4.79834 51.120793)	behouden	NA	Km_15836	Kempen	HOL buiten plan	7	eerste set	213.724.297.103.256	track	Km_15836
POINT (5.130105 51.287803)	behouden	NA	Km_15867.15	Kempen	HOL binnen plan	11	eerste set	555.081.132.194.888	track	Km_15867.15
POINT (5.090435 51.277836)	behouden	NA	Km_15882.2	Kempen	OL buiten plan	53	eerste set	683.466.220.525.375	track	Km_15882.2
POINT (4.583133 51.428267)	behouden	NA	Km_16186.13	Kempen	OL binnen plan	125	reserve set	798.305.402.701.133	unclassified	Km_16186.13
POINT (4.991607 51.294333)	behouden	NA	Km_16250	Kempen	HOL buiten plan	32	eerste set	561.026.279.896.117	unclassified	Km_16250
POINT (4.992577 51.289071)	behouden	NA	Km_16263.5	Kempen	OL binnen plan	6	eerste set	852.413.772.284.658	unclassified	Km_16263.5
