WKT	beslissing	vervanging_id	pointid_from_targets	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	pointid
POINT (5.63008 51.183102)	behouden	NA	Km_16407.3	Kempen	HOL binnen plan	18	eerste set	631.615.501.967.422	unclassified	Km_16407.3
POINT (5.620456 51.163431)	behouden	NA	Km_16429.1.2	Kempen	HOL binnen plan	15	eerste set	419.923.090.787.494	unclassified	Km_16429.1.2
POINT (4.989458 51.27402)	behouden	NA	Km_16944.16	Kempen	HOL binnen plan	59	reserve set	610.017.307.154.513	unclassified	Km_16944.16
POINT (4.745991 51.426996)	behouden	NA	Km_16959.2	Kempen	HOL buiten plan	36	eerste set	443.101.641.318.306	unclassified	Km_16959.2
POINT (4.729581 51.454145)	behouden	NA	Km_16987.3	Kempen	HOL buiten plan	39	eerste set	536.869.413.920.702	unclassified	Km_16987.3
POINT (4.714672 51.399282)	behouden	NA	Km_17005	Kempen	OL buiten plan	16	eerste set	571.411.474.614.524	unclassified	Km_17005
POINT (5.760638 51.126478)	behouden	NA	Km_17034.5	Kempen	HOL buiten plan	47	eerste set	510.379.641.885.325	track	Km_17034.5
POINT (4.772719 51.456572)	behouden	NA	Km_17059.11	Kempen	OL buiten plan	49	eerste set	682.036.374.875.674	track	Km_17059.11
POINT (4.639601 51.40691)	behouden	NA	Km_17133.9	Kempen	OL buiten plan	68	reserve set	559.521.179.212.256	unclassified	Km_17133.9
POINT (4.700335 51.415542)	behouden	NA	Km_17165.1	Kempen	HOL buiten plan	44	eerste set	368.674.412.503.133	unclassified	Km_17165.1
POINT (4.687372 51.437087)	behouden	NA	Km_17173.2	Kempen	OL buiten plan	20	eerste set	827.052.825.762.339	unclassified	Km_17173.2
POINT (4.682785 51.42709)	behouden	NA	Km_17185.7	Kempen	OL buiten plan	1	eerste set	839.168.886.266.961	unclassified	Km_17185.7
POINT (4.675189 51.438555)	behouden	NA	Km_17216.1.1	Kempen	HOL buiten plan	54	reserve set	377.855.526.674.467	unclassified	Km_17216.1.1
POINT (4.696792 51.401612)	behouden	NA	Km_17424.15	Kempen	OL buiten plan	52	eerste set	801.917.644.342.395	unclassified	Km_17424.15
POINT (4.687594 51.40587)	behouden	NA	Km_17426	Kempen	OL buiten plan	54	eerste set	726.662.610.150.908	unclassified	Km_17426
POINT (4.655424 51.397125)	behouden	NA	Km_17435.5	Kempen	HOL buiten plan	38	eerste set	314.641.297.953.765	unclassified	Km_17435.5
POINT (4.914577 51.365379)	behouden	NA	Km_17493	Kempen	OL binnen plan	50	eerste set	768.203.389.024.794	track	Km_17493
POINT (4.590192 51.412806)	behouden	NA	Km_17566.3	Kempen	HOL binnen plan	74	reserve set	300.192.331.389.019	unclassified	Km_17566.3
POINT (4.738265 51.48382)	behouden	NA	Km_17707.4	Kempen	HOL buiten plan	15	eerste set	630.787.696.591.385	track	Km_17707.4
POINT (4.369037 51.34144)	behouden	NA	Km_17729.12	Kempen	OL buiten plan	12	eerste set	781.975.060.281.666	track	Km_17729.12
POINT (5.387624 51.200927)	behouden	NA	Km_18036.1.1	Kempen	HOL buiten plan	56	reserve set	636.356.569.121.504	unclassified	Km_18036.1.1
POINT (5.171382 50.960417)	behouden	NA	Km_18819.3	Kempen	HOL binnen plan	10	eerste set	596.170.380.863.442	track	Km_18819.3
POINT (4.98031 51.411132)	behouden	NA	Km_19073.2	Kempen	OL binnen plan	10	eerste set	671.124.394.917.946	track	Km_19073.2
POINT (4.951322 51.404779)	behouden	NA	Km_19078.3	Kempen	OL binnen plan	2	eerste set	782.878.120.691.933	track	Km_19078.3
POINT (4.962168 51.371321)	behouden	NA	Km_19091.6	Kempen	OL binnen plan	68	eerste set	687.755.757.474.276	track	Km_19091.6
POINT (4.993465 51.424419)	behouden	NA	Km_19175.9	Kempen	OL binnen plan	16	eerste set	620.251.991.804.614	unclassified	Km_19175.9
POINT (4.987066 51.429964)	behouden	NA	Km_19178.20	Kempen	OL binnen plan	22	eerste set	758.420.234.579.734	track	Km_19178.20
POINT (5.039597 51.426102)	behouden	NA	Km_19586.1	Kempen	HOL buiten plan	26	eerste set	272.197.458.669.909	unclassified	Km_19586.1
POINT (4.682085 51.418994)	behouden	NA	Km_19747.1	Kempen	OL buiten plan	34	eerste set	826.526.040.522.961	track	Km_19747.1
POINT (4.672795 51.415609)	behouden	NA	Km_19747.16	Kempen	OL buiten plan	69	reserve set	712.439.408.688.926	track	Km_19747.16
POINT (5.087867 51.290039)	behouden	NA	Km_19881.2	Kempen	OL buiten plan	15	eerste set	790.403.624.111.116	track	Km_19881.2
POINT (5.066499 51.291566)	behouden	NA	Km_19888.3	Kempen	OL buiten plan	23	eerste set	836.083.429.865.188	unclassified	Km_19888.3
POINT (4.695455 51.374544)	behouden	NA	Km_20075.6	Kempen	OL buiten plan	27	eerste set	694.528.710.551.419	unclassified	Km_20075.6
POINT (4.709483 51.378769)	behouden	NA	Km_20076.5	Kempen	OL buiten plan	25	eerste set	745.024.838.493.789	track	Km_20076.5
POINT (5.041117 51.278808)	behouden	NA	Km_20264.1.5	Kempen	OL buiten plan	9	eerste set	843.232.658.113.329	unclassified	Km_20264.1.5
POINT (5.476007 51.158387)	behouden	NA	Km_20879.5	Kempen	HOL binnen plan	17	eerste set	633.045.347.617.223	unclassified	Km_20879.5
POINT (5.489878 51.177463)	behouden	NA	Km_20889.1	Kempen	OL binnen plan	109	reserve set	807.034.986.667.657	track	Km_20889.1
POINT (5.500362 51.149377)	behouden	NA	Km_20946.1	Kempen	HOL binnen plan	68	reserve set	49.292.047.395.296	unclassified	Km_20946.1
POINT (5.487459 51.155595)	behouden	NA	Km_21266.8	Kempen	OL binnen plan	19	eerste set	763.010.791.665.528	track	Km_21266.8
POINT (5.411131 51.165783)	behouden	NA	Km_21330	Kempen	HOL buiten plan	19	eerste set	436.930.728.514.707	track	Km_21330
POINT (5.748541 51.089532)	behouden	NA	Km_21406.3	Kempen	HOL binnen plan	21	eerste set	585.785.186.145.125	track	Km_21406.3
POINT (5.432683 51.111921)	behouden	NA	Km_21457.2.2	Kempen	HOL binnen plan	9	eerste set	389.219.036.837.351	unclassified	Km_21457.2.2
POINT (5.743933 51.071782)	behouden	NA	Km_21470.1.4	Kempen	HOL binnen plan	39	eerste set	548.157.669.049.367	track	Km_21470.1.4
POINT (5.661672 51.148385)	behouden	NA	Km_21546.4	Kempen	HOL binnen plan	75	reserve set	625.294.079.095.425	track	Km_21546.4
POINT (5.652919 51.153091)	behouden	NA	Km_21563.8	Kempen	OL binnen plan	80	eerste set	784.759.496.546.695	track	Km_21563.8
POINT (5.643469 51.145273)	behouden	NA	Km_21567.9	Kempen	HOL binnen plan	55	eerste set	632.518.562.377.616	track	Km_21567.9
POINT (5.649965 51.147565)	behouden	NA	Km_21577.3	Kempen	OL binnen plan	30	eerste set	6.122.749.581.802	track	Km_21577.3
POINT (5.024647 51.204985)	behouden	NA	Km_21674.2	Kempen	HOL binnen plan	36	eerste set	341.733.110.262.614	unclassified	Km_21674.2
POINT (5.409033 51.216943)	behouden	NA	Km_22155.1	Kempen	HOL buiten plan	68	reserve set	404.872.083.949.198	unclassified	Km_22155.1
POINT (4.679161 51.143908)	behouden	NA	Km_22477.1.1	Kempen	HOL buiten plan	14	eerste set	504.509.749.218.353	unclassified	Km_22477.1.1
POINT (4.950578 51.160066)	behouden	NA	Km_22575.1	Kempen	HOL buiten plan	10	eerste set	768.730.174.264.055	track	Km_22575.1
POINT (5.424974 51.256669)	behouden	NA	Km_2285.2	Kempen	HOL binnen plan	27	eerste set	327.886.183.971.435	unclassified	Km_2285.2
POINT (5.180637 51.257834)	behouden	NA	Km_22991.4	Kempen	HOL binnen plan	80	reserve set	679.251.938.610.618	track	Km_22991.4
POINT (4.515587 51.450049)	behouden	NA	Km_23347.5	Kempen	HOL binnen plan	77	reserve set	500.746.997.508.849	unclassified	Km_23347.5
POINT (4.525168 51.444386)	behouden	NA	Km_23351.22	Kempen	HOL binnen plan	14	eerste set	400.131.016.795.105	unclassified	Km_23351.22
POINT (4.486 51.443431)	behouden	NA	Km_23364.12	Kempen	OL buiten plan	60	eerste set	787.393.422.743.392	unclassified	Km_23364.12
POINT (4.618542 51.310081)	behouden	NA	Km_23520.10	Kempen	OL buiten plan	46	eerste set	818.850.027.035.496	track	Km_23520.10
POINT (4.631407 51.340851)	behouden	NA	Km_23600.11	Kempen	OL buiten plan	33	eerste set	770.310.529.982.082	unclassified	Km_23600.11
POINT (5.573465 51.117305)	behouden	NA	Km_23764.7	Kempen	OL buiten plan	7	eerste set	719.739.147.005.463	track	Km_23764.7
POINT (4.81916 51.205741)	behouden	NA	Km_24292.1	Kempen	HOL buiten plan	21	eerste set	470.494.473.763.866	track	Km_24292.1
POINT (5.373434 51.264992)	behouden	NA	Km_24405.6	Kempen	OL buiten plan	40	eerste set	663.975.166.669.832	track	Km_24405.6
POINT (4.668114 51.390195)	behouden	NA	Km_24897.2	Kempen	HOL buiten plan	30	eerste set	401.184.587.273.777	unclassified	Km_24897.2
POINT (5.090416 51.009635)	behouden	NA	Km_25245	Kempen	HOL buiten plan	35	eerste set	15.299.348.451.089	track	Km_25245
POINT (5.033932 51.224897)	behouden	NA	Km_25593.3	Kempen	HOL binnen plan	7	eerste set	470.193.453.627.293	track	Km_25593.3
POINT (4.979412 50.995219)	behouden	NA	Km_26464.1.1	Kempen	HOL buiten plan	12	eerste set	517.754.635.236.128	track	Km_26464.1.1
POINT (5.661534 51.119439)	behouden	NA	Km_26670.2	Kempen	HOL buiten plan	50	eerste set	381.543.023.349.827	track	Km_26670.2
POINT (5.090566 51.42493)	behouden	NA	Km_27286.1.21	Kempen	HOL buiten plan	9	eerste set	403.517.493.333.678	unclassified	Km_27286.1.21
POINT (5.669932 51.110847)	behouden	NA	Km_27343.7	Kempen	OL buiten plan	8	eerste set	778.061.798.503.808	track	Km_27343.7
POINT (4.737353 51.414393)	behouden	NA	Km_2893.10	Kempen	HOL buiten plan	52	reserve set	635.227.743.608.673	unclassified	Km_2893.10
POINT (4.56323 51.374846)	behouden	NA	Km_2991	Kempen	OL buiten plan	2	eerste set	747.959.784.827.212	unclassified	Km_2991
POINT (4.947412 51.369274)	behouden	NA	Km_30171.10	Kempen	OL binnen plan	47	eerste set	692.722.589.730.818	track	Km_30171.10
POINT (5.444912 51.265447)	behouden	NA	Km_30450.2	Kempen	OL binnen plan	108	reserve set	895.384.396.807.725	track	Km_30450.2
POINT (5.111391 50.964348)	behouden	NA	Km_30707.5	Kempen	HOL binnen plan	53	eerste set	520.087.541.295.985	track	Km_30707.5
POINT (4.87687 51.371415)	behouden	NA	Km_30760.2	Kempen	HOL buiten plan	34	eerste set	388.616.996.563.866	unclassified	Km_30760.2
POINT (5.035246 51.336132)	behouden	NA	Km_31210.4	Kempen	HOL binnen plan	34	eerste set	495.930.675.320.575	track	Km_31210.4
POINT (4.731723 51.420343)	behouden	NA	Km_31525.1	Kempen	OL buiten plan	4	eerste set	554.479.091.921.356	unclassified	Km_31525.1
POINT (4.723043 51.425459)	behouden	NA	Km_31535.12	Kempen	OL buiten plan	43	eerste set	766.246.758.135.587	unclassified	Km_31535.12
POINT (4.772568 51.448306)	behouden	NA	Km_32052.11	Kempen	OL buiten plan	11	eerste set	662.846.341.156.802	unclassified	Km_32052.11
POINT (4.776779 51.451075)	behouden	NA	Km_32068.4	Kempen	HOL buiten plan	40	eerste set	477.869.467.114.706	unclassified	Km_32068.4
POINT (4.775891 51.466141)	behouden	NA	Km_32071	Kempen	OL buiten plan	28	eerste set	699.721.307.910.595	unclassified	Km_32071
POINT (5.435528 51.124257)	behouden	NA	Km_3217.2.2	Kempen	HOL binnen plan	4	eerste set	374.920.580.340.998	unclassified	Km_3217.2.2
POINT (4.744811 51.485039)	behouden	NA	Km_32954.2.22	Kempen	OL buiten plan	39	eerste set	811.023.503.479.459	unclassified	Km_32954.2.22
POINT (5.436795 51.068357)	behouden	NA	Km_34481.16	Kempen	OL binnen plan	54	eerste set	772.718.691.076.087	track	Km_34481.16
POINT (5.594269 51.180541)	behouden	NA	Km_35510.6	Kempen	OL buiten plan	13	eerste set	747.131.979.451.181	track	Km_35510.6
POINT (5.608602 51.200442)	behouden	NA	Km_35571.6	Kempen	OL binnen plan	98	reserve set	801.767.134.273.911	track	Km_35571.6
POINT (4.822932 51.45431)	behouden	NA	Km_36111.7	Kempen	HOL buiten plan	59	reserve set	553.651.286.545.372	tertiary	Km_36111.7
POINT (4.792832 51.477023)	behouden	NA	Km_36692.1.3	Kempen	HOL buiten plan	29	eerste set	573.067.085.366.661	tertiary	Km_36692.1.3
POINT (5.035135 51.359575)	behouden	NA	Km_3716.1	Kempen	HOL binnen plan	71	reserve set	420.976.661.266.083	unclassified	Km_3716.1
POINT (5.219329 51.14828)	behouden	NA	Km_38164.1.6	Kempen	HOL buiten plan	31	eerste set	447.466.433.301.398	track	Km_38164.1.6
POINT (5.63238 51.192639)	behouden	NA	Km_38842.2	Kempen	HOL binnen plan	16	eerste set	488.254.661.833.102	track	Km_38842.2
POINT (5.71083 51.166545)	behouden	NA	Km_39180.1	Kempen	OL binnen plan	65	eerste set	585.559.421.042.561	unclassified	Km_39180.1
POINT (5.712534 51.163483)	behouden	NA	Km_39182.6	Kempen	OL buiten plan	21	eerste set	653.063.186.711.994	unclassified	Km_39182.6
POINT (4.691201 51.32934)	behouden	NA	Km_41343.15	Kempen	OL buiten plan	10	eerste set	745.777.388.835.795	unclassified	Km_41343.15
POINT (4.656397 51.321202)	behouden	NA	Km_41347.6	Kempen	OL buiten plan	59	eerste set	768.353.899.093.041	track	Km_41347.6
POINT (4.490405 51.438564)	behouden	NA	Km_41488.1	Kempen	HOL binnen plan	70	reserve set	504.509.749.218.401	unclassified	Km_41488.1
POINT (5.738227 51.059908)	behouden	NA	Km_41590.5	Kempen	OL binnen plan	38	eerste set	748.787.590.203.407	track	Km_41590.5
POINT (5.596537 51.192504)	behouden	NA	Km_41960	Kempen	HOL binnen plan	24	eerste set	419.998.345.821.588	track	Km_41960
POINT (5.697803 51.13184)	behouden	NA	Km_42110.5	Kempen	HOL binnen plan	3	eerste set	38.199.455.355.489	track	Km_42110.5
POINT (5.473221 51.141997)	behouden	NA	Km_42179	Kempen	HOL binnen plan	62	reserve set	248.341.612.831.296	unclassified	Km_42179
POINT (4.885399 51.391637)	behouden	NA	Km_42618.2.4	Kempen	HOL buiten plan	13	eerste set	618.596.381.052.458	track	Km_42618.2.4
POINT (4.508832 51.411054)	behouden	NA	Km_42767.2	Kempen	OL binnen plan	52	eerste set	701.301.663.628.612	track	Km_42767.2
POINT (4.537417 51.398923)	behouden	NA	Km_42798.2	Kempen	OL binnen plan	92	reserve set	765.117.932.622.792	unclassified	Km_42798.2
POINT (5.206048 51.247956)	behouden	NA	Km_42990.9	Kempen	OL binnen plan	81	eerste set	839.620.416.472.178	track	Km_42990.9
POINT (4.882233 51.410468)	behouden	NA	Km_4317	Kempen	HOL buiten plan	65	reserve set	609.415.266.881.027	unclassified	Km_4317
POINT (4.852519 51.408074)	behouden	NA	Km_4323.1	Kempen	OL binnen plan	163	reserve set	448.745.768.882.667	unclassified	Km_4323.1
POINT (5.620294 51.195514)	behouden	NA	Km_43699.4	Kempen	HOL binnen plan	81	reserve set	445.735.567.515.075	tertiary	Km_43699.4
POINT (5.52192 51.037765)	behouden	NA	Km_45192.7	Kempen	OL binnen plan	34	eerste set	789.575.818.735.017	track	Km_45192.7
POINT (5.239394 51.148202)	behouden	NA	Km_45941.3.7	Kempen	HOL buiten plan	18	eerste set	762.484.006.426.155	track	Km_45941.3.7
POINT (4.50745 51.417837)	behouden	NA	Km_47302.6	Kempen	OL binnen plan	43	eerste set	847.296.429.959.879	unclassified	Km_47302.6
POINT (5.275858 51.187708)	behouden	NA	Km_47948.2	Kempen	HOL buiten plan	5	eerste set	472.601.614.721.351	track	Km_47948.2
POINT (4.8948 51.398852)	behouden	NA	Km_48264.3	Kempen	HOL buiten plan	64	reserve set	464.022.540.823.479	track	Km_48264.3
POINT (5.512303 51.136326)	behouden	NA	Km_48322	Kempen	HOL binnen plan	23	eerste set	319.382.365.107.803	unclassified	Km_48322
POINT (5.535017 51.075976)	behouden	NA	Km_48414.2	Kempen	HOL buiten plan	8	eerste set	583.076.004.914.026	track	Km_48414.2
POINT (4.947906 51.363424)	behouden	NA	Km_48848.16	Kempen	HOL binnen plan	76	reserve set	519.560.756.056.757	track	Km_48848.16
POINT (5.510228 51.238887)	behouden	NA	Km_4933	Kempen	OL binnen plan	132	reserve set	661.717.515.644.062	unclassified	Km_4933
POINT (4.633407 51.333287)	behouden	NA	Km_4955.4	Kempen	HOL buiten plan	45	eerste set	488.630.937.004.051	tertiary	Km_4955.4
POINT (5.021366 51.463203)	behouden	NA	Km_50820.1	Kempen	HOL buiten plan	48	eerste set	436.253.433.206.887	track	Km_50820.1
POINT (4.585328 51.422419)	behouden	NA	Km_5092.8	Kempen	OL binnen plan	3	eerste set	825.096.194.873.429	unclassified	Km_5092.8
POINT (4.57427 51.420935)	behouden	NA	Km_5093.9	Kempen	OL binnen plan	27	eerste set	704.838.650.235.613	unclassified	Km_5093.9
POINT (4.549724 51.417172)	behouden	NA	Km_5100.9	Kempen	OL binnen plan	49	eerste set	839.695.671.506.502	unclassified	Km_5100.9
POINT (4.542497 51.411753)	behouden	NA	Km_5104.12	Kempen	OL binnen plan	26	eerste set	876.420.128.191.692	unclassified	Km_5104.12
POINT (4.998454 51.430802)	behouden	NA	Km_52319.16	Kempen	OL binnen plan	39	eerste set	869.120.389.875.241	unclassified	Km_52319.16
POINT (4.878012 51.407073)	behouden	NA	Km_54314.1	Kempen	OL buiten plan	18	eerste set	573.217.595.434.914	track	Km_54314.1
POINT (4.74442 51.145665)	behouden	NA	Km_5731.8	Kempen	HOL buiten plan	37	eerste set	641.850.186.617.592	track	Km_5731.8
POINT (4.71588 51.14775)	behouden	NA	Km_5740.7	Kempen	HOL buiten plan	55	reserve set	633.572.132.856.497	tertiary	Km_5740.7
POINT (5.21909 50.960501)	behouden	NA	Km_57486.3	Kempen	HOL binnen plan	28	eerste set	603.018.588.974.782	track	Km_57486.3
POINT (4.518965 51.425549)	behouden	NA	Km_5795.7	Kempen	HOL binnen plan	8	eerste set	636.130.804.018.991	unclassified	Km_5795.7
POINT (4.540586 51.417943)	behouden	NA	Km_5801.7	Kempen	OL binnen plan	124	reserve set	783.103.885.794.476	unclassified	Km_5801.7
POINT (4.589565 51.405712)	behouden	NA	Km_5805.1	Kempen	OL binnen plan	69	eerste set	615.360.414.582.166	unclassified	Km_5805.1
POINT (5.102368 51.10674)	behouden	NA	Km_58461.2	Kempen	HOL buiten plan	16	eerste set	474.031.460.370.976	unclassified	Km_58461.2
POINT (5.417238 51.108219)	behouden	NA	Km_60414.12	Kempen	OL binnen plan	59	eerste set	783.028.630.760.445	track	Km_60414.12
POINT (4.981978 51.425376)	behouden	NA	Km_60862.6	Kempen	OL binnen plan	142	reserve set	791.607.704.658.306	track	Km_60862.6
POINT (5.50816 51.073758)	behouden	NA	Km_61447	Kempen	HOL binnen plan	82	reserve set	555.382.152.331.732	track	Km_61447
POINT (5.641264 51.154716)	behouden	NA	Km_62042.25	Kempen	HOL binnen plan	49	eerste set	593.160.179.495.798	unclassified	Km_62042.25
POINT (4.922161 51.383931)	behouden	NA	Km_62065.12	Kempen	OL binnen plan	4	eerste set	819.753.087.445.725	track	Km_62065.12
POINT (4.930546 51.376139)	behouden	NA	Km_62065.33	Kempen	OL binnen plan	170	reserve set	772.568.181.007.796	track	Km_62065.33
POINT (5.108712 51.128211)	behouden	NA	Km_62392	Kempen	HOL buiten plan	57	reserve set	143.887.625.373.748	unclassified	Km_62392
POINT (5.075619 51.413275)	behouden	NA	Km_64020.22	Kempen	HOL binnen plan	78	reserve set	442.800.621.181.567	track	Km_64020.22
POINT (5.074108 51.410767)	behouden	NA	Km_64020.28	Kempen	OL binnen plan	61	eerste set	684.444.535.969.748	track	Km_64020.28
POINT (5.005361 51.237361)	behouden	NA	Km_64303.2	Kempen	HOL buiten plan	63	reserve set	545.975.273.057.838	unclassified	Km_64303.2
POINT (4.486169 51.412083)	behouden	NA	Km_6529.1.6	Kempen	OL buiten plan	31	eerste set	805.755.651.086.084	unclassified	Km_6529.1.6
POINT (4.471006 51.435904)	behouden	NA	Km_6545.1.14	Kempen	HOL buiten plan	3	eerste set	65.253.640.147.265	unclassified	Km_6545.1.14
POINT (4.500311 51.413957)	behouden	NA	Km_6564.7	Kempen	OL binnen plan	97	reserve set	886.504.302.773.298	tertiary	Km_6564.7
POINT (4.840891 51.214991)	behouden	NA	Km_68322.7	Kempen	HOL buiten plan	6	eerste set	539.954.870.322.544	track	Km_68322.7
POINT (4.414955 51.455727)	behouden	NA	Km_69530.1.1	Kempen	HOL buiten plan	27	eerste set	438.435.829.198.436	track	Km_69530.1.1
POINT (5.615894 51.151389)	behouden	NA	Km_74314.1	Kempen	HOL binnen plan	60	reserve set	577.055.602.178.837	track	Km_74314.1
POINT (4.586326 51.404662)	behouden	NA	Km_75942.1	Kempen	HOL binnen plan	56	eerste set	465.377.131.438.922	unclassified	Km_75942.1
POINT (5.712894 51.152286)	behouden	NA	Km_78832.1.4	Kempen	OL binnen plan	88	eerste set	624.466.273.719.261	unclassified	Km_78832.1.4
POINT (5.675236 51.121582)	behouden	NA	Km_7885.4	Kempen	OL binnen plan	152	reserve set	722.448.328.236.323	track	Km_7885.4
POINT (5.441928 51.081268)	behouden	NA	Km_79299.2	Kempen	HOL binnen plan	73	reserve set	369.577.472.913.523	track	Km_79299.2
POINT (5.648624 51.13013)	behouden	NA	Km_8009.12	Kempen	OL buiten plan	6	eerste set	864.304.067.686.962	track	Km_8009.12
POINT (5.556647 51.070669)	behouden	NA	Km_8030.9	Kempen	OL buiten plan	5	eerste set	764.515.892.349.317	track	Km_8030.9
POINT (5.655141 51.129894)	behouden	NA	Km_80562.16	Kempen	OL binnen plan	76	eerste set	71.710.522.080.876	unclassified	Km_80562.16
