pointid	key	value	Naam	tar_group	cvvi	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
W(_1002.1.5	highway	track	Weidestreek (Luik)	1	0.491942158508562	0	3	1.41203474998474	1	1	2	eerste set	248278.072549506	162237.551829609
W(_1032.3	highway	track	Weidestreek (Luik)	1	0.408409070556131	0	3	1.45320916175842	1	1	7	eerste set	248779.374625582	162768.224750706
W(_1049.12	highway	track	Weidestreek (Luik)	1	0.386585110640614	0	3	1.39942836761475	0	1	34	eerste set	247394.260718082	162281.977542054
W(_1063.3	highway	track	Weidestreek (Luik)	1	0.293193613209246	0	3	1.41459286212921	0	1	51	eerste set	247786.736088175	162440.226669518
W(_1104.1	highway	track	Weidestreek (Luik)	1	0.423234312291771	0	3	1.37737619876862	1	1	1	eerste set	254639.013604274	159260.120422913
W(_113.5	highway	tertiary	Weidestreek (Luik)	1	0.385456285127797	0	3	1.45758426189423	1	1	49	eerste set	255893.433388066	158161.330796292
W(_1157.2	highway	unclassified	Weidestreek (Luik)	1	0.517980400338686	0	3	1.36997306346893	1	1	50	eerste set	252784.856697029	161448.545357614
W(_1171.1.1	highway	track	Weidestreek (Luik)	1	0.435425627830748	0	3	1.39314985275269	0	1	22	eerste set	245005.529761832	161186.860967459
W(_1206	highway	track	Weidestreek (Luik)	1	0.390799392555401	0	3	1.36942279338837	0	1	30	eerste set	247916.595211693	162995.880257292
W(_135.6	highway	track	Weidestreek (Luik)	1	0.447917963506624	0	3	1.4689838886261	0	1	21	eerste set	247209.876747978	161581.623978356
W(_140.1	highway	track	Weidestreek (Luik)	1	0.465903916678265	0	3	1.41285145282745	0	1	37	eerste set	245343.404308941	161758.537965269
W(_143.7	highway	track	Weidestreek (Luik)	1	0.366266251408926	0	3	1.40587556362152	0	1	63	eerste set	247697.062840782	161498.031690171
W(_163.6	highway	track	Weidestreek (Luik)	1	0.378006036742852	0	3	1.41512632369995	1	1	20	eerste set	250285.29594724	160647.667502764
W(_201.5	highway	track	Weidestreek (Luik)	1	0.297859425329148	0	3	1.45394062995911	1	1	4	eerste set	248602.740651576	161415.94900076
W(_214.14	highway	track	Weidestreek (Luik)	1	0.536568393783995	0	3	1.50180041790009	1	1	53	eerste set	255202.254296936	161642.19584662
W(_215.9	highway	track	Weidestreek (Luik)	1	0.503456178739622	0	4	1.52638339996338	1	1	17	eerste set	255737.997856994	160833.775034067
W(_236	highway	track	Weidestreek (Luik)	1	0.386434600572339	0	3	1.43047726154327	1	1	48	eerste set	251194.244800275	160175.883881558
W(_270	highway	track	Weidestreek (Luik)	1	0.351290499604928	0	3	1.35656547546387	1	1	38	eerste set	254419.524548194	159595.637939038
