pointid	key	value	Naam	tar_group	cvvi	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	X	Y
W(_1002	highway	track	Weidestreek (Luik)	1	0.383198634102073	0	4	1.51528632640839	1	249089.116158984	162835.781928987
W(_1002.1	highway	track	Weidestreek (Luik)	1	0.225539337471273	0	3	1.35204195976257	1	248490.638832014	162319.721881746
W(_1002.1.1	highway	track	Weidestreek (Luik)	1	0.30350355289351	0	3	1.367551445961	1	248446.02446119	162311.832323765
W(_1002.1.2	highway	track	Weidestreek (Luik)	1	0.343463976049013	0	3	1.37618887424469	1	248400.79663001	162302.534625095
W(_1002.1.3	highway	track	Weidestreek (Luik)	1	0.393057043581048	0	3	1.39572751522064	1	248360.570580257	162279.14162682
W(_1002.1.4	highway	track	Weidestreek (Luik)	1	0.44648811785689	0	3	1.40833628177643	1	248322.065468539	162252.871383439
W(_1002.1.5	highway	track	Weidestreek (Luik)	1	0.491942158508562	0	3	1.41203474998474	1	248278.072549506	162237.551829609
W(_1002.1.6	highway	track	Weidestreek (Luik)	1	0.487502111491107	0	3	1.41380512714386	0	248233.297004394	162224.420187048
W(_1002.10	highway	track	Weidestreek (Luik)	1	0.228173263667963	0	3	1.42135262489319	1	248770.917603568	162546.134724981
W(_1002.11	highway	track	Weidestreek (Luik)	1	0.224561022026857	0	3	1.40130174160004	1	248731.151832863	162519.186056187
W(_1002.12	highway	track	Weidestreek (Luik)	1	0.18271922301645	0	3	1.38122820854187	1	248703.171271182	162480.388258232
W(_1002.13	highway	track	Weidestreek (Luik)	1	0.182418202879695	0	3	1.35050237178802	1	248680.414030478	162438.038953539
W(_1002.2	highway	track	Weidestreek (Luik)	1	0.402313412786566	0	4	1.51430201530457	1	249051.407666528	162806.039781558
W(_1002.3	highway	track	Weidestreek (Luik)	1	0.585634676076577	0	3	1.50909900665283	1	249012.67914062	162777.578040112
W(_1002.4	highway	track	Weidestreek (Luik)	1	0.552371950963953	0	4	1.51606523990631	1	248975.316761531	162747.372711515
W(_1002.5	highway	track	Weidestreek (Luik)	1	0.482234259097829	0	3	1.50458800792694	1	248942.489031875	162712.357746984
W(_1002.7	highway	track	Weidestreek (Luik)	1	0.435651392933393	0	3	1.49529874324799	1	248881.169547788	162638.420303158
W(_1002.8	highway	track	Weidestreek (Luik)	1	0.451003419908399	0	3	1.47169852256775	1	248847.276997158	162604.398991446
W(_1002.9	highway	track	Weidestreek (Luik)	1	0.334960157185481	0	3	1.45162034034729	1	248809.795635178	162574.364853829
W(_1006	highway	track	Weidestreek (Luik)	1	0.157057256357225	0	3	1.48050558567047	1	256919.93069653	157494.601885089
W(_1011	highway	track	Weidestreek (Luik)	1	0.254362015566544	0	2	1.34394037723541	1	254341.26297169	160471.801450267
W(_1024.2	highway	track	Weidestreek (Luik)	1	0.125751162133652	0	3	1.36860549449921	1	250707.111509251	160050.302512209
W(_1024.3	highway	track	Weidestreek (Luik)	1	0.228850558975722	0	3	1.36188066005707	1	250713.373083726	160093.551113264
W(_1024.4	highway	track	Weidestreek (Luik)	1	0.284464029243113	0	3	1.37209856510162	1	250754.810552233	160112.995641179
W(_1024.5	highway	track	Weidestreek (Luik)	1	0.314716552987963	0	3	1.36903584003448	1	250772.049748244	160152.319251922
W(_1025	highway	track	Weidestreek (Luik)	1	0.264521445182378	0	3	1.40081715583801	1	250793.258972611	159969.927617848
