LBLHFDTLT;GEWASGROEP;nieuwe_groep;opm hans;opm johannes
Aardappelen (gecertificeerd pootgoed);Aardappelen;Aardappelen;;
Aardappelen (geplande oogst vanaf 1/9);Aardappelen;Aardappelen;;
Aardappelen (geplande oogst voor 1/9);Aardappelen;Aardappelen;;
Aardappelen (hoevepootgoed);Aardappelen;Aardappelen;;
Aardappelen (niet-vroege);Aardappelen;Aardappelen;;
Aardappelen (pootgoed);Aardappelen;Aardappelen;;
Aardappelen (primeur, rooi voor 20/6);Aardappelen;Aardappelen;;
Aardappelen (vroege, rooi na 19/6);Aardappelen;Aardappelen;;
Aardbeien;Fruit en Noten;Andere;;
Braambessen;Fruit en Noten;Andere;;
Frambozen;Fruit en Noten;Andere;;
Rode bessen;Fruit en Noten;Andere;Houtachtige gewassen;
Stekelbessen;Fruit en Noten;Andere;Houtachtige gewassen;
Andere eenjarige fruitteelten;Fruit en Noten;Andere;;
Andere oliehoudende zaden;Granen, zaden en peulvruchten;Andere;Andere;
Snijbloemen andere dan rozen < 5 jaar;Groenten, kruiden en sierplanten;Andere;Andere;
Snijbloemen andere dan rozen >= 5 jaar;Groenten, kruiden en sierplanten;Andere;Andere;
Aardbeiplanten;Overige gewassen;Andere;;
Andere bedekking;Overige gewassen;Andere;Andere;
Jongplanten voor de sierteelt;Overige gewassen;Andere;Andere;
Miscanthus;Overige gewassen;Andere;Andere;
Niet nader omschreven gewas - kleine landbouwer;Overige gewassen;Andere;Andere;
Soedangras;Overige gewassen;Andere;Andere;
Tagetes (Afrikaantje);Overige gewassen;Andere;Andere;
Tuin met hoogstam;Overige gewassen;Andere;;
Andere voedergewassen;Voedergewassen;Andere;Groententeelt;
Suikerbieten;Suikerbieten;Bieten;;
Voederbieten;Voedergewassen;Bieten;;
Braakliggend land zonder minimale activiteit;Overige gewassen;Braakland;Braakland;
Braakliggend land zonder onderhoud;Overige gewassen;Braakland;;
Braakliggend land met onderhoud;Overige gewassen;Braakland;;
Niet ingezaaid akkerland;Overige gewassen;Braakland;Braakland;
Andere granen (bv. Mengkoren);Granen, zaden en peulvruchten;Andere graangewassen;Zomergranen?;
Brouwgerst;Granen, zaden en peulvruchten;Andere graangewassen;Zomergranen;
Graskruiden mengsel;Grasland;Grasland;Tijdelijk of permanent?;
Grasland;Grasland;Grasland;Tijdelijk of permanent?;inderdaad, belangrijk onderscheid tussen permanent en tijdelijk
Graszoden;Grasland;Grasland;Tijdelijk ?;permanent, zie kaart waar Bruno over sprak (dep Omgeving)
Natuurlijk grasland met minimumactiviteit;Grasland;Grasland;Aparte categorie maken? Permanent grasland;
Natuurlijk grasland zonder minimumactiviteit;Grasland;Grasland;Aparte categorie maken? Permanent grasland;
Weiland met niet-oogstbare bomen (> 100 bomen per ha);Grasland;Grasland;Aparte categorie maken? Permanent grasland;
Weiland met oogstbare hoogstam bomen (> 100 bomen/ha);Grasland;Grasland;Aparte categorie maken? Permanent grasland;
Zaaizaad grassen;Grasland;Grasland;Tijdelijk of permanent?;
Natuurlijk grasland met onderhoud;Grasland;Grasland;;
Weiland met oogstbare hoogstam bomen (> 200 bomen/ha);Grasland;Grasland;;
Weiland met niet-oogstbare bomen (> 200 bomen per ha);Grasland;Grasland;;
Natuurlijk grasland zonder onderhoud;Grasland;Grasland;;
Begraasde niet-landbouwgrond;Overige gewassen;Grasland;Andere;
Begraasde niet-landbouwgrond met overeenkomst;Overige gewassen;Grasland;Andere;
Japanse haver;Granen, zaden en peulvruchten;Groenbemester;Groenbemester;Groenbemester (vanggewas), ook interessant als  fauna wintervoedsel. 
Andere vlinderbloemige groenbedekker;Overige gewassen;Groenbemester;Andere;
Bladrammenas;Overige gewassen;Groenbemester;Groententeelt;
Gele mosterd;Overige gewassen;Groenbemester;;
Mengsel van niet-vlinderbloemige groenbedekkers;Overige gewassen;Groenbemester;Groenbemester;
Phacelia;Overige gewassen;Groenbemester;Groenbemester;
Andere niet-vlinderbloemige groenbedekker;Overige gewassen;Groenbemester;;
Eenjarige klaver;Voedergewassen;Groenbemester;;
Eenjarige luzerne;Voedergewassen;Groenbemester;;
Grasklaver;Voedergewassen;Groenbemester;;
Grasluzerne;Voedergewassen;Groenbemester;;
Meerjarige klaver;Voedergewassen;Groenbemester;;
Meerjarige luzerne;Voedergewassen;Groenbemester;;
Mengsel van gras en vlinderbloemigen (andere dan grasklaver of g;Voedergewassen;Groenbemester;;
Mengsel van gras en vlinderbloemigen (andere dan grasklaver of grasluzerne);Voedergewassen;Groenbemester;;
Mengsel van gras en vlinderbloemigen (andere dan grasklaver);Voedergewassen;Groenbemester;;
Mengsel van vlinderbloemigen;Voedergewassen;Groenbemester;;
Mengteelt maïs en vlinderbloemige teelt;Voedergewassen;Groenbemester;;
Rode klaver;Voedergewassen;Groenbemester;;
Voederkool (bladkool);Voedergewassen;Groenbemester;;
Ajuinen (niet vroege) - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Ajuinen (niet-vroege) - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Ajuinen (vroege) - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Ajuinen (vroege) - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Andere groenten - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Andere groenten - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Andere kolen - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Andere kruiden -  industrie;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Andere kruiden - vers;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Andere meerjarige kruiden - industrie;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Andere niet-houtachtige sierplanten;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Asperges - vers;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Basilicum - industrie;Groenten, kruiden en sierplanten;Groententeelt;Groententeelt;
Bloemkool - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Bloemkool - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Butternutpompoenen - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Kervel - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Knolselder - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Peterselie - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Pompoenen - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Pompoenen - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Rabarber - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Rabarber - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Rode kool - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Spinazie - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Spruitkolen - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Spruitkool - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Spruitkool - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Witloof (voor het loof) - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Witloof (voor het loof) - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Witloofwortel;Groenten, kruiden en sierplanten;Groententeelt;;
Witte kool - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Witte kool - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Pastinaak - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Prei - industrie;Groenten, kruiden en sierplanten;Groententeelt;;
Rode kool - vers;Groenten, kruiden en sierplanten;Groententeelt;;
Rotatieteelt van groentegewassen (vb pluktuin);Groenten, kruiden en sierplanten;Groententeelt;;
Permacultuur;Overige gewassen;Groententeelt;Andere;
Boomkweek - andere;Groenten, kruiden en sierplanten;Houtachtige gewassen;Houtachtige gewassen;
Boomkweek - sierplanten;Groenten, kruiden en sierplanten;Houtachtige gewassen;Houtachtige gewassen;
Kerstbomen;Groenten, kruiden en sierplanten;Houtachtige gewassen;Andere;
Niet-bloeiende heesters;Groenten, kruiden en sierplanten;Houtachtige gewassen;Andere;
Sierbomen en -struiken;Groenten, kruiden en sierplanten;Houtachtige gewassen;Andere;
Andere bebossing;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Bebossing loofbomen-ecologisch;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Bebossing met contract voor 2008;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Bomen in groep;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Bomenrijen;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Boomkweek - bos- en haagplanten;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Houtkanten en houtwallen <= 10 m breed;Houtachtige gewassen;Houtachtige gewassen;Houtachtige gewassen;
Bebossing (korte omlooptijd);Houtachtige gewassen;Houtachtige gewassen;;
Ander gebouw;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Andere stallen en gebouwen;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Gebouw i.k.v. verbreding;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Hoofdgebouwen;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Loods (bv. voor machines, opslag,?);Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Loods (bv. voor machines, opslag,…);Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Niet nader omschreven gebouw;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Stal;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Woonhuis;Landbouwinfrastructuur;Landbouwinfrastructuur;Landbouwinfrastructuur;
Champignons (loods);Overige gewassen;Landbouwinfrastructuur;Andere;
Onverharde landingsbaan of veiligheidszones op vliegvelden;Overige gewassen;Landbouwinfrastructuur;Andere;
Korrelmaïs;Maïs;Maïs;;
Silomaïs;Maïs;Maïs;;
Andere meerjarige fruitteelten;Fruit en Noten;Meerjarige fruitteelt;;
Druiven;Fruit en Noten;Meerjarige fruitteelt;;"hier heb ik van Andere ""meerjarige fruitteelt"" gemaakt"
Meerjarige fruitteelten (appel);Fruit en Noten;Meerjarige fruitteelt;;
Meerjarige fruitteelten (peer);Fruit en Noten;Meerjarige fruitteelt;;
Meerjarige fruitteelten (pruim);Fruit en Noten;Meerjarige fruitteelt;;
Meerjarige fruitteelten (zoete kers, hoogstam);Fruit en Noten;Meerjarige fruitteelt;;
Meerjarige fruitteelten (zoete kers, laagstam);Fruit en Noten;Meerjarige fruitteelt;;
Meerjarige fruitteelten (zure kers);Fruit en Noten;Meerjarige fruitteelt;;
