LBLHFDTLT;GEWASGROEP;nieuwe_groep;opm hans;opm johannes
Meerjarige fruitteelten hoogstam (appel);Fruit en Noten;Meerjarige fruitteelt;;
Walnoten;Fruit en Noten;Meerjarige fruitteelt;Houtachtige gewassen;"hier heb ik van Andere ""meerjarige fruitteelt"" gemaakt"
Wijnstokken;Fruit en Noten;Meerjarige fruitteelt;Meerjarige fruitteelt;"hier heb ik van Andere ""meerjarige fruitteelt"" gemaakt"
Boomkweek - fruitkweek;Groenten, kruiden en sierplanten;Meerjarige fruitteelt;Meerjarige fruitteelt;
Boomkweek - fruitplanten;Groenten, kruiden en sierplanten;Meerjarige fruitteelt;Meerjarige fruitteelt;
Drooggeoogste erwten (voor menselijke consumptie);Granen, zaden en peulvruchten;Peulvruchten;;
Drooggeoogste Phaseolus bonen (voor menselijke consumptie);Granen, zaden en peulvruchten;Peulvruchten;;
Sojabonen;Granen, zaden en peulvruchten;Peulvruchten;;
Tuin- en veldbonen (niet voor menselijke consumptie);Granen, zaden en peulvruchten;Peulvruchten;;
Voedererwten (niet voor menselijke consumptie);Granen, zaden en peulvruchten;Peulvruchten;;
Winterveldbonen - niet menselijke consumptie;Granen, zaden en peulvruchten;Peulvruchten;;
Zomerveldbonen - niet menselijke consumptie;Granen, zaden en peulvruchten;Peulvruchten;;
Voedererwten (zomerteelt) - niet menselijke consumptie;Granen, zaden en peulvruchten;Peulvruchten;;
Erwten (andere dan droog geoogst) - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Erwten (andere dan droog geoogst) - vers;Groenten, kruiden en sierplanten;Peulvruchten;;
Flageolets (voor de boon) - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Flageolets (voor de boon) - vers;Groenten, kruiden en sierplanten;Peulvruchten;;
Snijbonen - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Stamslabonen - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Stamslabonen/sperziebonen - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Stamslabonen/sperziebonen - vers;Groenten, kruiden en sierplanten;Peulvruchten;;
Tuin- en veldbonen (Vicia faba) - industrie;Groenten, kruiden en sierplanten;Peulvruchten;;
Tuin- en veldbonen (Vicia faba) - vers;Groenten, kruiden en sierplanten;Peulvruchten;;
Faunamengsel;Granen, zaden en peulvruchten;Vergroening;Andere;wordt (door/voor jagers) ingezaaid, als BO tvv fauna. Dit zou ik als ecoregeling of als beheerovereenkomst er in zetten, maar dit is dan afzonderlijk van de VLM laag
Bloemenmengsel;Overige gewassen;Vergroening;Andere;
Bloemenmengsel voor EAG Braak;Overige gewassen;Vergroening;Andere;
Braakliggend land met minimale activiteit met EAG;Overige gewassen;Vergroening;Braakland;
Braakliggend land met minimale activiteit zonder EAG;Overige gewassen;Vergroening;Braakland;
Zaaizaad wintervlas;Granen, zaden en peulvruchten;Vlas en hennep;;
Olievlas (geen vezelvlas);Vlas en hennep;Vlas en hennep;Vlas en hennep;
Vezelhennep (bestemd voor vezelproductie);Vlas en hennep;Vlas en hennep;Vlas en hennep;
Vezelvlas (bestemd voor vezelproductie);Vlas en hennep;Vlas en hennep;Vlas en hennep;
Wintervlas (vezelproductie en industriële toepassingen);Vlas en hennep;Vlas en hennep;Vlas en hennep;
Andere hennep dan vezelhennep (niet voor menselijke consumptie);Vlas en hennep;Vlas en hennep;;
Poelen <= 0,1 ha;Water;Water;Andere;
Mengteelt wintertarwe of triticale en vlinderbloemige;Granen, zaden en peulvruchten;Wintergranen;Zomergranen;wintertarwe is wintergraan
Mengteelt wintertarwe of triticale en winterteelt vlinderbloemige;Granen, zaden en peulvruchten;Wintergranen;Zomergranen;wintertarwe is wintergraan
Triticale;Granen, zaden en peulvruchten;Wintergranen;Wintergranen?;
Wintergerst;Granen, zaden en peulvruchten;Wintergranen;Wintergranen;
Winterhaver;Granen, zaden en peulvruchten;Wintergranen;Wintergranen;
Winterkoolzaad;Granen, zaden en peulvruchten;Wintergranen;Wintergranen;
Winterrogge;Granen, zaden en peulvruchten;Wintergranen;Wintergranen;
Wintertarwe;Granen, zaden en peulvruchten;Wintergranen;Wintergranen;
Zaaizaad graangewassen;Granen, zaden en peulvruchten;Wintergranen;;afhankelijk van varieteit, meestal wintergraan
Zaaizaad wintertarwe of triticale;Granen, zaden en peulvruchten;Wintergranen;;
Snijrogge;Overige gewassen;Wintergranen;Groenbemester;
Mengteelt andere wintergranen en winterteelt vlinderbloemige;Voedergewassen;Wintergranen;;
Wortel (niet-vroege) (consumptie) - industrie;Groenten, kruiden en sierplanten;Wortelgewassen;;
Wortel (niet-vroege) (consumptie) - vers;Groenten, kruiden en sierplanten;Wortelgewassen;;
Wortel (vroege) (consumptie) - industrie;Groenten, kruiden en sierplanten;Wortelgewassen;;
Wortel (vroege) (consumptie) - vers;Groenten, kruiden en sierplanten;Wortelgewassen;;
Cichorei (inuline);Overige gewassen;Wortelgewassen;;
Cichorei (koffiesurrogaat);Overige gewassen;Wortelgewassen;;
Zaaizaad olie- en vezelhoudende planten;Granen, zaden en peulvruchten;Zaden;;koolzaad, mosterd, lijnzaad, zonnebloemzaad etc zou ik allemaal onder (oliehoudende) zaden steken
Zomerraapzaad;Granen, zaden en peulvruchten;Zaden;Peulvruchten?;
Zonnebloempitten;Granen, zaden en peulvruchten;Zaden;Andere? maar wel belangrijk voedselbron voor vogels;klopt, al blijven er weinig pitten over voor de vogels
Mengteelt zomergranen en zomerteelt vlinderbloemige;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;
Quinoa;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;quinoa is zomergraan inderdaad
Sorghum;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;sorghum is zomergraan idd
Spelt;Granen, zaden en peulvruchten;Zomergranen;Wintergranen?;meestal als zomergraan geteelt
Zomergerst;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;
Zomerhaver;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;
Zomertarwe;Granen, zaden en peulvruchten;Zomergranen;Zomergranen;
Loods (bv. voor machines, opslag,\\u0085);Landbouwinfrastructuur;Landbouwinfrastructuur;;
Zoete aardappel;Groenten, kruiden en sierplanten;Groententeelt;;
Mengteelt  andere granen en vlinderbloemige (bv. erwten en gerst);Granen, zaden en peulvruchten;Wintergranen;Zomergranen;andere granen (en zeker gers) zijn meestal wintergraan
