pointid,regio,openheid_klasse,sbp,x_coord,y_coord
VL0555,Bilzen,HOL,buiten,231186.1524239488,169201.65046354756
VL0556,Bilzen,OL,buiten,231776.98267375323,171313.34200712387
VL0557,Bilzen,OL,buiten,232236.21955467493,170751.00151896477
VL0558,Bilzen,OL,buiten,232307.58853553422,170199.12987889256
VL0559,Bilzen,OL,buiten,231449.9914229565,169513.4458236359
VL0560,Bilzen,HOL,buiten,231862.50971461425,169766.0418451093
VL0561,Bilzen,HOL,buiten,232730.22564595588,169819.1727000354
VL0562,Bilzen,HOL,binnen,232020.6785510612,168909.53588434495
VL0563,Bilzen,OL,binnen,232583.47795630345,168753.72864856198
VL0564,Bilzen,OL,binnen,232982.839365158,168546.57881550398
VL0565,Bilzen,HOL,binnen,232722.79784522147,168167.28854577523
VL0566,Bilzen,OL,binnen,233293.5496364248,168130.51427079737
VL0567,Bilzen,OL,binnen,233807.7248211663,168439.20628504548
VL0568,Bilzen,OL,binnen,233364.43996037732,168903.20188356098
VL0569,Bilzen,OL,binnen,234212.32024062471,169000.82516793068
VL0570,Bilzen,HOL,binnen,234149.72685448118,169372.01825877652
VL0571,Bilzen,OL,binnen,234788.89530859876,168994.01721659582
VL0572,Bilzen,HOL,binnen,234059.79844806384,170279.64039178565
VL0573,Bilzen,HOL,binnen,234006.45832073712,170845.78859489132
VL0574,Bilzen,HOL,binnen,234577.94965025567,171001.42596646864
VL0575,Bilzen,OL,binnen,234877.86172694285,170333.1795237651
VL0576,Bilzen,HOL,buiten,233320.5983652445,171526.1621100735
VL0577,Bilzen,OL,buiten,233525.9046390046,172074.37519884482
VL0578,Bilzen,OL,buiten,233816.2039876584,171570.5870421538
VL0579,Bilzen,HOL,buiten,234068.55708846252,172050.8235961534
VL0580,Bilzen,OL,buiten,233787.22195005624,172521.2140403213
VL0581,Bilzen,HOL,buiten,232765.2115050776,172002.85330782272
VL0582,Bilzen,HGL,buiten,232641.92132927006,172718.9932781821
VL0583,Bilzen,HOL,buiten,233339.29937349516,172915.96134061553
VL0584,Bilzen,OL,buiten,234391.2486082589,172501.65212082583
VL0585,Bilzen,OL,buiten,234724.02108229458,171925.60117938463
VL0586,Bilzen,OL,buiten,235104.01479625504,172483.93008985836
VL0587,Bilzen,OL,binnen,235358.5138453417,171996.61825344246
VL0588,Bilzen,OL,binnen,235868.9170455133,172420.47687468957
VL0589,Bilzen,OL,binnen,236166.68763987185,172757.2670748923
VL0590,Bilzen,OL,binnen,236374.33550689562,172267.53284722567
VL0591,Bilzen,OL,binnen,235968.35558209167,171777.01201952342
VL0592,Bilzen,OL,binnen,236196.76110408813,171212.9174698908
VL0593,Bilzen,OL,binnen,236693.09960622547,171066.21902190708
Ol_8741.5,Bilzen,HOL,binnen,236856.55259813747,171487.0876929341
Ol_3795.8,Bilzen,HOL,binnen,235523.99990415626,170358.34480833728
Ol_18140.4,Bilzen,OL,binnen,237566.6450885303,170694.7461964339
Ol_3799.2,Bilzen,HOL,binnen,237946.2395870935,171077.26939151995
VL0604,Bilzen,HOL,buiten,230875.39543886087,172021.21925821062
VL0605,Bilzen,HOL,buiten,230460.57856553496,170768.7723116055
VL0607,Bilzen,OL,binnen,235895.66613484724,173493.39768465608
VL0608,Bilzen,HOL,buiten,235735.16965275182,174451.6245581163
VL0609,Bilzen,OL,binnen,236406.72960523996,174342.58400097303
VL0610,Bilzen,OL,buiten,235553.93682242726,173962.278928007
VL0611,Bilzen,OL,binnen,236359.47100501915,173875.37497147825
VL0612,Bilzen,OL,binnen,236596.92134657188,173324.17750521936
VL0613,Bilzen,OL,binnen,237386.40519760872,173336.90061611868
VL0614,Bilzen,OL,binnen,237011.77951422322,173871.34661800228
VL0615,Bilzen,OL,binnen,237493.4290305921,174291.49680537824
VL0616,Bilzen,OL,binnen,238017.6261020851,173618.27335443906
VL0617,Bilzen,OL,buiten,238051.8595584737,174536.8555061547
VL0618,Bilzen,OL,binnen,236966.8822393585,172756.94535758253
VL0619,Bilzen,OL,binnen,237109.0981595208,172292.8881745506
VL0620,Bilzen,OL,binnen,237389.2786804955,171894.37761007994
VL0621,Bilzen,OL,binnen,237826.41322579997,172091.41829992644
VL0622,Bilzen,HOL,binnen,238331.78357866424,171875.42409251817
VL0623,Bilzen,OL,binnen,238009.09919661804,172552.00727334153
VL0624,Bilzen,HOL,binnen,238910.94152994698,171959.94331666827
