pointid	key	value	Naam	tar_group	cvvi	area_prop_sb	openheid_klasse	openheid_waarde	is_sbp	in_sample	sample_order	batch	X	Y
DM_1012.6	highway	track	Polders	8	0.893503020953177	0.220049871170174	4	1.56511783599854	1	1	291	eerste set	24368.929662249	194250.502166643
DM_176.6	highway	track	Polders	8	0.811776053821451	0.0408586552993546	4	1.56354582309723	1	1	13	eerste set	26661.1031198644	195614.498639319
DM_217.30	highway	unclassified	Polders	8	0.660287669994376	0.00368307576146902	4	1.54735231399536	1	1	138	eerste set	26833.3253797313	195892.022736897
DM_218.4	highway	track	Polders	8	0.626121884471528	0.0549853900808912	4	1.55552208423615	1	1	485	eerste set	26331.1508645976	196326.913935729
Goedinge O	highway	track	Zandstreek	10	0.885827007465656	0	4	1.5564831495285	0	1	214	eerste set	100177.492491422	191868.948477655
KKP C	highway	unclassified	Polders	8	0.868668859670108	0	4	1.56247437000275	1	1	167	eerste set	133616.186548923	216700.743090046
Km_10015	highway	unclassified	Kempen	3	0.276637505687194	0.00613001466431762	3	1.35551118850708	1	1	238	eerste set	223858.672743782	201243.04852096
Km_10019	highway	unclassified	Kempen	3	0.369050687674127	0.00155738792964507	3	1.36927330493927	1	1	1	eerste set	226481.366306441	200248.072193034
Km_10056.3	highway	unclassified	Kempen	3	0.44114501042934	0	3	1.37457656860352	1	1	5	eerste set	223991.595307718	195540.287102061
Km_10124.12	highway	unclassified	Kempen	1	0.751873046605183	0	3	1.50088739395142	0	1	70	eerste set	163449.543901378	229076.203178326
Km_10181.5	highway	unclassified	Kempen	1	0.594891045282094	0	3	1.44038414955139	0	1	581	eerste set	247228.996553924	201727.713854096
Km_10183.4	highway	unclassified	Kempen	2	0.671876945259741	0	4	1.51245999336243	0	1	58	eerste set	247069.645163361	201795.030899675
Km_10259.4	highway	unclassified	Kempen	1	0.422933292155139	0	3	1.40333354473114	0	1	105	eerste set	234093.624530698	198017.569103955
Km_10297.1.5	highway	track	Kempen	1	0.684519791004034	0	3	1.44676685333252	0	1	804	eerste set	233583.933124207	198385.356907866
Km_10524.6	highway	unclassified	Kempen	1	0.355580036553861	0	3	1.36301732063293	0	1	745	eerste set	175272.974674547	225653.76478615
Km_10536.2	highway	track	Kempen	1	0.769708489708536	0	3	1.50207996368408	0	1	386	eerste set	174304.107779211	221581.336760426
Km_10545.1	highway	unclassified	Kempen	1	0.548533944220343	0	3	1.38430106639862	0	1	1124	eerste set	174801.406151635	217092.055352432
Km_10562.2	highway	track	Kempen	1	0.698065697158461	0	3	1.4833732843399	0	1	651	eerste set	185736.792798351	185799.522485626
Km_10565.2.3	highway	track	Kempen	3	0.411042996752786	0	3	1.37154805660248	1	1	201	eerste set	186204.111619291	185632.200112075
Km_10577.3	highway	track	Kempen	3	0.561628320169472	0	3	1.44181680679321	1	1	13	eerste set	185583.860203965	187205.913109917
Km_10725	highway	track	Kempen	1	0.465678151575779	0	3	1.41025805473328	0	1	974	eerste set	182415.520325666	211527.064848961
Km_10810.1	highway	unclassified	Kempen	3	0.479449822832745	0	3	1.45286393165588	1	1	96	eerste set	247119.982973765	205759.405339961
Km_10812.1.1	highway	unclassified	Kempen	3	0.590977783504104	0	3	1.49778234958649	1	1	184	eerste set	247392.700114609	206367.254589509
Km_10882.1	highway	unclassified	Kempen	1	0.345872137143205	0	3	1.42859017848969	0	1	586	eerste set	182181.833916732	204807.743628769
Km_10903.3	highway	track	Kempen	1	0.727114140356192	0	3	1.50264835357666	0	1	909	eerste set	186756.348092281	209512.794138922
Km_10910	highway	unclassified	Kempen	3	0.567422957802424	0	3	1.43731093406677	1	1	57	eerste set	246957.485421227	207139.811292668
Km_10968.1.3	highway	unclassified	Kempen	1	0.388616996563811	0	3	1.37253904342651	0	1	165	eerste set	172393.416533564	206962.540221656
Km_1097.1.4	highway	unclassified	Kempen	1	0.44219858090801	0	3	1.41695809364319	0	1	752	eerste set	215139.678596728	180685.474381191
Km_10985.5	highway	track	Kempen	1	0.610017307154596	0	3	1.37862479686737	0	1	1047	eerste set	179992.015399285	220885.661592844
Km_11078.1.3	highway	track	Kempen	1	0.504585004252622	0	3	1.4756942987442	0	1	436	eerste set	171236.786117244	207708.907404572
Km_11102.1	highway	track	Kempen	1	0.46462458109702	0	3	1.41839897632599	0	1	146	eerste set	161300.602133619	230779.037962291
Km_11113.3	highway	unclassified	Kempen	1	0.612651233351285	0	3	1.44662642478943	0	1	560	eerste set	163213.074406073	230423.067421393
Km_11147.3	highway	tertiary	Kempen	1	0.16495903494733	0	3	1.36452317237854	0	1	615	eerste set	179556.710769074	204245.705267715
Km_11154.1.1	highway	unclassified	Kempen	1	0.592633394256373	0	3	1.38063538074493	0	1	339	eerste set	181012.408145501	203190.525553649
Km_1116.1.23	highway	unclassified	Kempen	3	0.53935283004898	0	3	1.38264977931976	1	1	220	eerste set	244781.179870917	203293.764518946
Km_1122.3.5	highway	unclassified	Kempen	1	0.645913958463842	0	3	1.48048520088196	0	1	467	eerste set	248701.336809707	203769.434398236
Km_11222.2	highway	unclassified	Kempen	1	0.458829943464288	0	3	1.39021337032318	0	1	205	eerste set	186746.33983623	185879.693602075
Km_11227.2	highway	track	Kempen	1	0.290183411841624	0	3	1.35082972049713	0	1	17	eerste set	173382.811869972	205295.096446003
Km_11263.1.2	highway	unclassified	Kempen	3	0.416988144453983	0	3	1.37632584571838	1	1	123	eerste set	201731.204014725	222991.906376488
Km_11309.4	highway	unclassified	Kempen	1	0.375146345443655	0	3	1.41896557807922	0	1	86	eerste set	247203.338659394	208346.169421573
Km_11337.2	highway	unclassified	Kempen	1	0.560198474520045	0	3	1.48689222335815	0	1	172	eerste set	200027.933861475	222130.384979672
Km_11376.3.3	highway	unclassified	Kempen	3	0.52866661519382	0	3	1.4290075302124	1	1	155	eerste set	245318.720311796	206803.212136122
Km_11396.7	highway	unclassified	Kempen	2	0.759699570161075	0	4	1.51565599441528	0	1	32	eerste set	201067.483588231	222535.985877836
Km_11555.1	highway	unclassified	Kempen	1	0.60678134068427	0	3	1.46377682685852	0	1	416	eerste set	199046.584845343	221567.283758888
Km_11561.4	highway	unclassified	Kempen	3	0.737649845143059	0	3	1.48651885986328	1	1	172	eerste set	165857.209746291	234663.08103121
Km_11561.7	highway	unclassified	Kempen	4	0.880182879901364	0	4	1.53899931907654	1	1	23	eerste set	165971.119614354	234763.591228716
Km_11563.6	highway	unclassified	Kempen	4	0.789801583837459	0	4	1.51357519626617	1	1	9	eerste set	166986.454883004	234399.69049942
Km_11564.1	highway	unclassified	Kempen	1	0.624089998548379	0	3	1.47809886932373	0	1	212	eerste set	167548.642052147	234313.428164169
Km_11564.5	highway	unclassified	Kempen	2	0.687228972234874	0	4	1.53178632259369	0	1	48	eerste set	167695.118565557	234188.630751641
Km_11566.5	highway	unclassified	Kempen	1	0.397421835564178	0	3	1.46399414539337	0	1	746	eerste set	170280.632660895	234308.782509789
Km_11577.8	highway	unclassified	Kempen	1	0.629658871078464	0	3	1.46955144405365	0	1	1040	eerste set	172170.245765368	231526.566778695
Km_11579.15	highway	unclassified	Kempen	2	0.829686751958979	0.00385315728565847	4	1.54579150676727	0	1	57	eerste set	170630.773377476	229812.203546383
Km_11579.2	highway	unclassified	Kempen	1	0.484115634952567	0	3	1.44822955131531	0	1	246	eerste set	171241.810049888	230043.152901732
Km_11584.1.13	highway	unclassified	Kempen	1	0.564939541674017	0	3	1.48523080348969	0	1	263	eerste set	169862.19332592	230838.542771707
Km_11590.3	highway	unclassified	Kempen	1	0.643806817506474	0	3	1.49392020702362	0	1	1176	eerste set	169003.776446634	234139.824186741
Km_11594.1.2	highway	unclassified	Kempen	2	0.479148802695889	0	4	1.51227343082428	0	1	3	eerste set	172442.990540411	230853.991867891
Km_11623.2.3	highway	unclassified	Kempen	1	0.588720132478447	0	3	1.35956430435181	0	1	311	eerste set	195649.111816496	214447.477542678
Km_11631.1.2	highway	unclassified	Kempen	2	0.665179247216802	0	4	1.53206026554108	0	1	66	eerste set	248038.8183421	204338.584123974
